Term,Ont,N,DE,P.DE
membrane-enclosed lumen,CC,5740,654,2.5566119936547344e-76
organelle lumen,CC,5740,654,2.5566119936547344e-76
organelle,CC,14144,1131,1.4720149574844592e-72
intermediate filament,CC,214,25,1.114476562767532e-21
intermediate filament cytoskeleton,CC,251,25,5.814630912278712e-20
intermediate filament,CC,214,41,1.9165107455546976e-33
intermediate filament,CC,214,36,6.704529313585165e-29
intermediate filament,CC,214,54,4.645931779483526e-41
intermediate filament,CC,214,19,3.8101847322088193e-17
intermediate filament cytoskeleton,CC,251,19,7.458222255971539e-16
cornified envelope,CC,65,1,0.009488064118619577
intracellular,CC,15073,1774,2.757671602239378e-72
intracellular part,CC,15063,1773,3.796933189410692e-72
intracellular organelle,CC,13294,1592,3.1820883934629597e-54
nucleoplasm,CC,3512,605,1.059293578725858e-53
membrane-bounded organelle,CC,13019,1563,3.754189379162071e-52
organelle,CC,14144,1656,5.897324168803473e-52
intracellular membrane-bounded organelle,CC,11488,1428,6.357006679900831e-52
cytoplasm,CC,11625,1439,1.7503714691477157e-51
intracellular organelle part,CC,9811,1269,6.961056315255635e-51
cytoplasmic part,CC,9735,1254,1.695341351162933e-48
organelle part,CC,10112,1288,6.514786557046609e-48
catalytic complex,CC,1370,306,3.6587602825437247e-47
cytosol,CC,5085,759,5.628860251223893e-44
intracellular organelle lumen,CC,5740,798,1.218666389192484e-34
membrane-enclosed lumen,CC,5740,798,1.218666389192484e-34
paraspeckles,CC,7,1,0.003752798130503221
integral component of membrane,CC,5330,39,4.020773954730846e-9
integrator complex,CC,28,4,6.670960810046674e-7
motile cilium,CC,179,2,0.0015487731493358495
sperm plasma membrane,CC,6,1,0.002048480027219801
sperm midpiece,CC,22,1,0.007493518217379869
cilium,CC,611,2,0.01687970102749741
cornified envelope,CC,65,1,0.02200105536081276
PCNA-p21 complex,CC,2,1,4.880429408028464e-4
cytoplasm,CC,11625,534,7.928581696923192e-20
intracellular,CC,15073,640,9.615104034702752e-20
intracellular part,CC,15063,639,1.843362106262341e-19
cytoplasmic part,CC,9735,468,2.228053480036661e-19
intracellular organelle,CC,13294,586,2.4391441197479085e-19
intracellular membrane-bounded organelle,CC,11488,526,9.57492922845602e-19
membrane-bounded organelle,CC,13019,574,3.2491841938185662e-18
organelle,CC,14144,608,5.723960985888871e-18
intracellular organelle part,CC,9811,459,4.716385883629313e-16
organelle part,CC,10112,467,2.3321502199867316e-15
cytosol,CC,5085,265,3.3126931894573875e-12
azurophil granule lumen,CC,91,1,0.022013845822895672
lysosomal lumen,CC,95,1,0.022972514728118454
azurophil granule,CC,155,1,0.03726256366738734
primary lysosome,CC,155,1,0.03726256366738734
synaptonemal complex,CC,40,1,0.0039010081096935156
synaptonemal structure,CC,40,1,0.0039010081096935156
aggresome,CC,43,1,0.00419327638309408
inclusion body,CC,82,1,0.007988861499717337
condensed nuclear chromosome,CC,99,1,0.009641079236407668
condensed chromosome,CC,223,1,0.021650895196307918
intermediate filament,CC,214,45,2.524038819076459e-34
intermediate filament,CC,214,47,1.4570444100036864e-43
intermediate filament cytoskeleton,CC,251,47,4.125058751193784e-40
integrator complex,CC,28,5,1.3647854696721175e-10
kinesin complex,CC,55,4,1.0574858077092225e-5
serine/threonine protein kinase complex,CC,88,4,6.806017810959856e-5
protein kinase complex,CC,109,4,1.5624904165956505e-4
IkappaB kinase complex,CC,9,2,2.1627963134843801e-4
intrinsic component of synaptic vesicle membrane,CC,47,3,2.1810424967283977e-4
intrinsic component of synaptic vesicle membrane,CC,47,3,8.32290689539835e-5
SCAR complex,CC,8,2,8.825015541357791e-5
vesicle membrane,CC,794,7,4.761963386807778e-4
transport vesicle membrane,CC,208,4,5.242477290303991e-4
protein-containing complex,CC,6151,21,6.385381790364831e-4
intracellular part,CC,15063,2387,3.0239726026811764e-88
intracellular,CC,15073,2388,3.0781127948519333e-88
intracellular organelle,CC,13294,2163,1.1258624513327964e-74
nucleoplasm,CC,3512,817,1.8572428865466407e-73
organelle,CC,14144,2254,6.218492352093007e-73
intracellular membrane-bounded organelle,CC,11488,1943,1.0480618034726976e-72
membrane-bounded organelle,CC,13019,2125,2.4203240099192566e-72
intracellular organelle part,CC,9811,1722,8.25311093134073e-70
organelle part,CC,10112,1752,6.143299284748777e-67
cytoplasm,CC,11625,1930,7.227390971946979e-63
cytosol,CC,5085,1034,3.435552823643399e-62
cytoplasmic part,CC,9735,1666,7.976693380146649e-56
catalytic complex,CC,1370,388,2.206693653254846e-53
intracellular,CC,15073,2261,2.0339831464739397e-87
intracellular part,CC,15063,2259,6.6896767636381e-87
intracellular organelle,CC,13294,2050,4.2687158842474104e-74
membrane-bounded organelle,CC,13019,2018,3.304592736531228e-73
organelle,CC,14144,2135,2.4093575571256743e-72
intracellular membrane-bounded organelle,CC,11488,1841,2.7571481524038e-71
intracellular organelle part,CC,9811,1633,1.771710696018541e-68
nucleoplasm,CC,3512,764,2.56573486344338e-66
organelle part,CC,10112,1662,5.646502902223356e-66
cytoplasm,CC,11625,1833,3.067191110748958e-63
cytosol,CC,5085,985,1.7227342359342903e-61
cytoplasmic part,CC,9735,1592,1.5191358441555613e-58
catalytic complex,CC,1370,371,3.072455185960018e-52
intracellular part,CC,15063,2415,4.556053573028355e-90
intracellular,CC,15073,2416,4.688717698108759e-90
intracellular organelle,CC,13294,2192,1.6771197205618569e-77
organelle,CC,14144,2284,8.161582569873352e-76
intracellular membrane-bounded organelle,CC,11488,1970,1.7231048736953504e-75
membrane-bounded organelle,CC,13019,2154,3.1103847355357467e-75
intracellular organelle part,CC,9811,1752,3.0571532015354376e-74
nucleoplasm,CC,3512,825,5.431318825620394e-74
organelle part,CC,10112,1782,3.6653685809535425e-71
cytoplasm,CC,11625,1954,1.7901501042009e-64
cytosol,CC,5085,1045,7.968746134446751e-63
cytoplasmic part,CC,9735,1691,2.126609470420074e-58
catalytic complex,CC,1370,392,6.155450332833091e-54
nuclear part,CC,5023,987,4.000332383598059e-48
integral component of membrane,CC,5330,6,0.005241077404841705
intermediate filament,CC,214,12,1.3006748899359586e-11
intermediate filament cytoskeleton,CC,251,12,8.340426846606791e-11
ribosomal subunit,CC,190,67,7.842723824659168e-50
ribosome,CC,272,72,9.524290690441094e-44
cytosolic ribosome,CC,112,46,5.063490267671402e-38
cytosolic part,CC,247,57,2.6607497274784627e-31
large ribosomal subunit,CC,121,40,7.554072416887062e-29
ribosomal subunit,CC,190,63,2.7407402372234353e-46
ribosome,CC,272,68,5.825892627763839e-41
cytosolic ribosome,CC,112,45,1.228444868979693e-37
cytosolic part,CC,247,55,1.847355803677902e-30
large ribosomal subunit,CC,121,38,2.6830850045347266e-27
intracellular part,CC,15063,497,7.072899449611702e-26
intracellular,CC,15073,497,9.057514758740654e-26
intracellular membrane-bounded organelle,CC,11488,413,2.64000071366341e-22
intracellular organelle,CC,13294,446,7.11560176233761e-19
membrane-bounded organelle,CC,13019,438,3.616130130994881e-18
nucleus,CC,7932,308,1.2766397443523715e-17
organelle,CC,14144,461,2.026797709661961e-17
nucleoplasm,CC,3512,171,1.202370667228902e-16
intermediate filament,CC,214,40,2.5939321206619176e-31
intermediate filament,CC,214,43,2.328876794807285e-33
nucleus,CC,7932,834,1.2662736615777634e-64
nucleoplasm,CC,3512,477,6.618884321353145e-60
intracellular part,CC,15063,1231,2.843462034122576e-51
intracellular,CC,15073,1231,5.0804069024347086e-51
intracellular organelle,CC,13294,1135,3.805789047009618e-50
intracellular membrane-bounded organelle,CC,11488,1024,5.2578202203565696e-48
condensed chromosome,CC,223,7,1.346808783591007e-4
Cul4-RING E3 ubiquitin ligase complex,CC,33,3,6.033282996640485e-4
intracellular part,CC,15063,2384,3.0536259680135676e-58
intracellular,CC,15073,2384,7.816015779815601e-58
membrane-bounded organelle,CC,13019,2139,8.690796029888816e-57
nucleus,CC,7932,1464,2.0784680546360938e-56
intracellular organelle,CC,13294,2162,1.6551463813342714e-53
nucleoplasm,CC,3512,776,2.372466944613051e-52
organelle,CC,14144,2259,6.857553982681582e-52
intracellular membrane-bounded organelle,CC,11488,1927,3.657188749453724e-51
cytoplasmic part,CC,9735,155,1.2273046678598883e-9
cytoplasm,CC,11625,172,1.440072190043516e-8
cytosol,CC,5085,96,1.504452500683422e-8
plasma membrane bounded cell projection,CC,2103,48,1.5177367598207954e-6
cell projection,CC,2178,48,4.0333838157440656e-6
ciliary part,CC,462,17,2.1067188213629144e-5
cell projection part,CC,1467,34,4.8453855805851084e-005
plasma membrane bounded cell projection part,CC,1467,34,4.8453855805851084e-005
cilium,CC,611,19,6.857722641457127e-5
Set1C/COMPASS complex,CC,12,1,5.857087075361589e-4
MLL3/4 complex,CC,13,1,6.345177664974777e-4
histone methyltransferase complex,CC,86,1,0.004197579070675528
methyltransferase complex,CC,113,1,0.005515423662632135
transferase complex,CC,779,1,0.03802225693088557
nucleoplasm part,CC,1126,1,0.05495900039047252
Set1C/COMPASS complex,CC,12,1,0.002340948551227018
MLL3/4 complex,CC,13,1,0.002535841899820701
ciliary part,CC,462,27,1.1640715431229147e-9
cell projection,CC,2178,66,6.658632371022536e-9
plasma membrane bounded cell projection,CC,2103,64,1.020722762434559e-8
cilium,CC,611,28,1.0826413621371553e-7
cytoskeleton,CC,2197,60,1.3725317563381413e-6
ciliary plasm,CC,124,11,2.1552446631243483e-6
nucleus,CC,7932,242,4.340319934268869e-9
nucleoplasm,CC,3512,124,1.6642655444459762e-7
intracellular part,CC,15063,389,2.7294240954621455e-7
intracellular,CC,15073,389,3.075847956423566e-7
organelle,CC,14144,364,9.210430044136974e-6
intracellular organelle,CC,13294,346,1.0244020870155072e-5
nucleoplasm part,CC,1126,49,1.1136346845205683e-5
nuclear speck,CC,397,24,1.5776598778785326e-5
nuclear body,CC,778,37,2.1947960879273794e-5
nucleus,CC,7932,2357,2.5502986615930836e-127
nucleoplasm,CC,3512,1280,5.1843527928129215e-121
intracellular part,CC,15063,3703,3.283863791116412e-106
intracellular,CC,15073,3704,6.516711411528821e-106
intracellular membrane-bounded organelle,CC,11488,3032,9.349735838786922e-104
intracellular organelle,CC,13294,3358,3.465986333814673e-96
membrane-bounded organelle,CC,13019,3276,3.782062240329759e-86
nuclear lumen,CC,4594,1452,3.413222355650338e-83
organelle,CC,14144,3475,2.659333507328372e-82
neuron part,CC,1729,139,1.4247992413932638e-18
synapse,CC,1171,107,3.608392126980978e-18
intracellular part,CC,15063,655,4.6730696904130767e-17
intracellular,CC,15073,655,5.971445046875404e-17
synapse part,CC,938,90,1.1549307515245838e-16
cytoplasm,CC,11625,541,1.546277880423178e-16
cytosol,CC,5085,288,5.172164176665038e-16
postsynapse,CC,613,68,7.138406351405752e-16
axon,CC,606,67,1.3949908928607416e-15
neuron projection,CC,1312,109,1.4872462996525422e-15
nucleus,CC,7932,1958,1.4666948502237933e-167
nucleoplasm,CC,3512,1054,2.680252002298302e-125
intermediate filament,CC,214,22,4.5147517846807795e-15
lysosomal membrane,CC,354,2,0.0017456263886434919
lytic vacuole membrane,CC,355,2,0.0017554012105568469
vacuolar membrane,CC,412,2,0.0023564322629799467
intermediate filament,CC,214,31,8.216263401963822e-25
plasma membrane,CC,5637,146,4.302150703913225e-12
nucleoplasm,CC,3512,409,1.636150242091386e-69
nucleus,CC,7932,668,4.681569788044347e-67
nuclear part,CC,5023,494,1.3996119435266752e-62
nuclear lumen,CC,4594,463,1.5238920572350934e-60
intracellular membrane-bounded organelle,CC,11488,805,2.746753437145695e-51
intracellular organelle lumen,CC,5740,509,5.831986388393866e-50
membrane-enclosed lumen,CC,5740,509,5.831986388393866e-50
organelle lumen,CC,5740,509,5.831986388393866e-50
cell projection,CC,2178,59,1.9755428560745206e-8
plasma membrane bounded cell projection,CC,2103,57,3.605942132436445e-8
neuron part,CC,1729,48,2.7307411721796413e-7
cell projection part,CC,1467,43,2.9901386161292215e-7
plasma membrane bounded cell projection part,CC,1467,43,2.9901386161292215e-7
neuron projection,CC,1312,40,3.0198570248957297e-7
cytoskeleton,CC,2197,51,1.999917543073256e-5
synapse part,CC,938,28,3.096053783827977e-5
cytoplasmic region,CC,505,19,3.112097251057502e-5
axon,CC,606,38,1.8943935231410535e-10
neuron part,CC,1729,72,3.249742223694022e-10
presynaptic active zone,CC,71,13,8.828072943580602e-10
cell junction,CC,1298,58,1.7951923337603144e-9
synapse part,CC,938,47,2.172500178509875e-9
synapse,CC,1171,54,2.3597467118255838e-9
axon part,CC,382,27,7.465063594781294e-9
intermediate filament,CC,214,16,2.1734391278441494e-12
intracellular organelle,CC,13294,132,2.3889090664815994e-6
cone matrix sheath,CC,1,1,6.833268254587965e-4
nucleus,CC,7932,288,1.6435065678867213e-32
nucleoplasm,CC,3512,162,1.494643534513783e-24
nuclear part,CC,5023,198,1.6562215776805732e-22
intracellular part,CC,15063,1183,6.710972991825939e-33
intracellular,CC,15073,1183,1.0740695300970152e-32
cytosolic ribosome,CC,112,50,2.699034692339528e-29
intracellular organelle,CC,13294,1061,8.648787762306982e-26
cytosol,CC,5085,506,3.2218753185708773e-25
cytosolic large ribosomal subunit,CC,63,35,4.968264151214104e-25
organelle,CC,14144,1108,6.321449491554923e-25
cation channel complex,CC,220,4,6.470915059736787e-4
anchored component of membrane,CC,170,3,0.0012681654297073248
voltage-gated calcium channel complex,CC,43,2,0.0013543407188544982
kinesin complex,CC,55,2,0.0022065127103349613
anchored component of postsynaptic endosome membrane,CC,2,1,0.00253652247965086
anchored component of postsynaptic recycling endosome membrane,CC,2,1,0.00253652247965086
intrinsic component of postsynaptic endosome membrane,CC,2,1,0.00253652247965086
intermediate filament,CC,214,40,3.912409203446988e-33
nucleus,CC,7932,95,4.6957892746770204e-12
nucleoplasm,CC,3512,58,1.4805062292506255e-11
nuclear lumen,CC,4594,65,4.039537702295894e-10
nuclear part,CC,5023,67,2.3853130467284106e-9
intracellular membrane-bounded organelle,CC,11488,112,4.534388805421572e-9
catalytic complex,CC,1370,30,1.2161970715238352e-8
intracellular part,CC,15063,130,1.681085193138489e-8
intracellular,CC,15073,130,1.797651057915296e-8
intracellular organelle,CC,13294,120,6.068191424123717e-8
transferase complex,CC,779,21,8.720121345364569e-8
intracellular organelle lumen,CC,5740,68,2.616698562014399e-7
membrane-enclosed lumen,CC,5740,68,2.616698562014399e-7
organelle lumen,CC,5740,68,2.616698562014399e-7
intermediate filament,CC,214,34,2.716575049627951e-27
intermediate filament cytoskeleton,CC,251,34,6.278487044801021e-25
intermediate filament,CC,214,36,1.0552312320606887e-31
intermediate filament cytoskeleton,CC,251,36,3.754132404947816e-29
cytoplasm,CC,11625,102,7.761538546779682e-8
mitochondrial protein complex,CC,262,12,1.0341763897055652e-7
mitochondrial envelope,CC,739,19,1.9043135422130626e-7
envelope,CC,1182,23,1.2120024299459431e-6
organelle envelope,CC,1182,23,1.2120024299459431e-6
mitochondrial inner membrane,CC,473,14,1.7472259781028757e-6
mitochondrial membrane,CC,698,17,1.8666246517474098e-6
organelle inner membrane,CC,532,14,6.770878779738004e-6
mitochondrial part,CC,1036,20,7.4242923664611085e-6
cytoplasmic part,CC,9735,86,8.377280301070592e-6
mitochondrial respiratory chain complex I,CC,50,5,1.545496791419151e-5
NADH dehydrogenase complex,CC,50,5,1.545496791419151e-5
respiratory chain complex I,CC,50,5,1.545496791419151e-5
neuron part,CC,1729,129,2.6834491543169327e-24
synapse,CC,1171,102,4.674411173679842e-24
synapse part,CC,938,81,6.920829993764181e-19
axon,CC,606,63,9.469502354841288e-19
neuron projection,CC,1312,96,2.1579809270210415e-17
somatodendritic compartment,CC,843,71,4.675202662105517e-16
axon part,CC,382,45,1.1266856708735739e-15
intermediate filament,CC,214,26,2.23145004200387e-23
intermediate filament cytoskeleton,CC,251,26,1.4088293059673068e-21
nucleus,CC,7932,1376,5.320022569420314e-128
nucleoplasm,CC,3512,741,1.3727140246583783e-90
intracellular membrane-bounded organelle,CC,11488,1656,1.9209814765805323e-88
intracellular,CC,15073,1953,9.122332294305267e-79
intracellular part,CC,15063,1952,1.145843123094562e-78
intracellular part,CC,15063,3191,5.845450898679921e-134
intracellular,CC,15073,3191,2.93670663495838e-133
nucleoplasm,CC,3512,1133,4.699707017044285e-124
intracellular organelle,CC,13294,2907,2.272116107578553e-118
nucleus,CC,7932,2001,9.302657799979836e-115
intracellular membrane-bounded organelle,CC,11488,2602,1.8930290372850721e-109
organelle,CC,14144,2993,1.2305088445068062e-101
membrane-bounded organelle,CC,13019,2794,1.5271958646111412e-90
nuclear lumen,CC,4594,1269,1.0468479684929853e-85
nuclear part,CC,5023,1356,1.6868313502845992e-85
nucleus,CC,7932,2345,3.0735640428674544e-102
intracellular part,CC,15063,3784,1.0937097137187276e-94
intracellular,CC,15073,3785,2.225478599918038e-94
nucleoplasm,CC,3512,1220,2.1073127393177306e-86
intracellular organelle,CC,13294,3409,7.765188757214609e-81
intracellular membrane-bounded organelle,CC,11488,3037,1.1723930620015615e-78
nucleus,CC,7932,480,1.4524350952584605e-41
intracellular part,CC,15063,703,1.1164736155290894e-36
intracellular,CC,15073,703,1.591116345435189e-36
intracellular membrane-bounded organelle,CC,11488,594,1.5787800261738962e-35
intracellular organelle,CC,13294,642,2.9391161584297644e-31
organelle,CC,14144,659,2.1648800440965885e-27
membrane-bounded organelle,CC,13019,623,7.486070183780764e-27
nucleoplasm,CC,3512,400,5.489898130447453e-54
intracellular membrane-bounded organelle,CC,11488,866,3.6002535718272484e-53
intracellular part,CC,15063,1014,2.7352363980773162e-49
intracellular,CC,15073,1014,4.527092745486805e-49
intracellular organelle,CC,13294,938,5.694716885929335e-48
membrane-bounded organelle,CC,13019,923,1.0493604963020878e-46
intracellular organelle part,CC,9811,764,8.085423698147591e-46
organelle,CC,14144,966,8.815330007709498e-44
organelle part,CC,10112,771,1.9170040685824012e-42
intracellular organelle lumen,CC,5740,520,7.721156299195097e-42
membrane-enclosed lumen,CC,5740,520,7.721156299195097e-42
organelle lumen,CC,5740,520,7.721156299195097e-42
nuclear lumen,CC,4594,445,2.556635277693774e-41
nuclear part,CC,5023,473,2.6793561119659097e-41
nucleus,CC,7932,637,4.898237738038838e-37
nucleoplasm,CC,3512,401,3.259957200862378e-37
intracellular organelle,CC,13294,1038,7.510353735329774e-37
intracellular part,CC,15063,1128,2.6182406145604066e-36
intracellular,CC,15073,1128,4.2154096433039325e-36
intracellular membrane-bounded organelle,CC,11488,934,6.73838692718296e-36
organelle,CC,14144,1075,7.8622632642165e-34
membrane-bounded organelle,CC,13019,1004,2.628774583777086e-30
ribosomal subunit,CC,190,63,3.60198971103663e-29
cytosolic ribosome,CC,112,46,3.0571449797994713e-26
nucleus,CC,7932,678,1.658990808768688e-25
intracellular membrane-bounded organelle,CC,11488,939,1.3794089696093451e-37
intracellular organelle,CC,13294,1039,3.2032723910151443e-37
intracellular part,CC,15063,1129,9.901527534535128e-37
intracellular,CC,15073,1129,1.5983126095773584e-36
nucleoplasm,CC,3512,397,9.478608561579372e-36
organelle,CC,14144,1075,7.8622632642165e-34
ribosomal subunit,CC,190,66,6.89967749147925e-32
membrane-bounded organelle,CC,13019,1008,1.2895053232231153e-31
nucleus,CC,7932,682,1.437086166361121e-26
ribosome,CC,272,72,2.708149566811571e-26
large ribosomal subunit,CC,121,47,1.6348368692138304e-25
nucleoplasm,CC,3512,381,7.75192471640858e-70
intracellular part,CC,15063,869,2.944313545410444e-59
intracellular,CC,15073,869,4.791485354372196e-59
intracellular membrane-bounded organelle,CC,11488,745,3.8502607594137963e-57
nuclear lumen,CC,4594,421,7.605651976875164e-57
nuclear part,CC,5023,443,7.29950552575566e-56
intracellular organelle,CC,13294,801,1.2367000763346405e-51
membrane-bounded organelle,CC,13019,786,8.717423450875278e-49
intracellular organelle part,CC,9811,659,1.2694455187062096e-48
nucleus,CC,7932,573,6.090374604894111e-48
organelle,CC,14144,820,4.563537833201677e-46
intracellular organelle lumen,CC,5740,458,2.7673099947486262e-45
membrane-enclosed lumen,CC,5740,458,2.7673099947486262e-45
organelle lumen,CC,5740,458,2.7673099947486262e-45
organelle part,CC,10112,663,9.844145293203929e-45
nucleoplasm part,CC,1126,159,2.7173260526737553e-39
intermediate filament,CC,214,40,3.0869462381333314e-22
intermediate filament cytoskeleton,CC,251,41,1.770614613595019e-20
intracellular part,CC,15063,604,5.580285168033483e-24
intracellular,CC,15073,604,7.317475154824438e-24
intracellular organelle,CC,13294,550,4.829256125506597e-21
membrane-bounded organelle,CC,13019,538,1.5980944036355237e-19
organelle,CC,14144,568,5.944875332110765e-19
nucleoplasm,CC,3512,204,2.5707154486215527e-17
intracellular organelle part,CC,9811,430,1.407476628411581e-16
intracellular membrane-bounded organelle,CC,11488,480,1.2119451524264428e-15
organelle part,CC,10112,436,1.6129787935845536e-15
nucleoplasm part,CC,1126,88,4.5043809279027655e-14
cytoplasm,CC,11625,471,4.339748219108467e-12
intracellular organelle lumen,CC,5740,269,2.249320807706487e-11
membrane-enclosed lumen,CC,5740,269,2.249320807706487e-11
organelle lumen,CC,5740,269,2.249320807706487e-11
nucleus,CC,7932,1565,4.819558386219267e-102
nucleoplasm,CC,3512,868,1.6481889278457946e-93
intracellular part,CC,15063,2386,9.790604287000426e-85
intracellular,CC,15073,2386,2.93863786398593e-84
intracellular organelle,CC,13294,2182,9.412016516554134e-80
focal adhesion,CC,405,74,1.3752345570595426e-17
cell-substrate adherens junction,CC,408,74,2.1016786747950315e-17
cell-substrate junction,CC,412,74,3.671596649147052e-17
adherens junction,CC,546,87,1.3083205445217825e-16
anchoring junction,CC,562,88,2.593390006250926e-16
cell junction,CC,1298,148,5.951298782442518e-14
plasma membrane part,CC,2985,131,2.7177052369247005e-15
plasma membrane,CC,5637,200,2.9073659531695974e-14
cell periphery,CC,5756,200,2.6297890918574496e-13
intrinsic component of plasma membrane,CC,1713,76,4.595235456124111e-9
membrane part,CC,6939,213,6.658908510382052e-9
integral component of plasma membrane,CC,1634,73,7.338836404555345e-9
membrane,CC,9495,268,4.912009946677287e-8
synapse part,CC,938,47,1.8889488520349652e-7
transmembrane transporter complex,CC,324,23,1.1364033808460652e-6
ion channel complex,CC,301,22,1.1987361770061707e-6
synaptic membrane,CC,432,27,1.6060673651276456e-6
synapse,CC,1171,52,1.63993838971489e-6
cytoplasmic part,CC,9735,271,4.059699182419077e-8
cytoplasm,CC,11625,308,2.4289401464577557e-7
cell junction,CC,1298,56,1.0887198275735543e-6
plasma membrane part,CC,2985,98,2.3256575495396955e-5
adherens junction,CC,546,28,3.3781799370760564e-5
anchoring junction,CC,562,28,5.596741587333803e-5
cytosol,CC,5085,148,6.895995898354102e-5
membrane,CC,9495,249,8.3394866708127e-5
nucleus,CC,7932,220,3.075246326819862e-20
intracellular part,CC,15063,323,2.2368746819739192e-19
intracellular,CC,15073,323,2.6446921277853006e-19
intracellular organelle,CC,13294,298,9.283831720141915e-18
nucleoplasm,CC,3512,126,1.0751335777168305e-17
intracellular organelle,CC,13294,63,1.3889049824297936e-6
intracellular membrane-bounded organelle,CC,11488,58,1.8954232045320993e-6
synapse part,CC,938,14,1.1107976747553222e-6
plasma membrane part,CC,2985,25,1.8785242960864553e-6
neuron part,CC,1729,18,4.575784021469811e-6
synapse,CC,1171,14,1.4424727284990996e-5
intermediate filament,CC,214,43,1.8254711174837304e-33
intracellular,CC,15073,675,4.8263446001479796e-11
intracellular part,CC,15063,674,7.102644255092224e-11
lysosome,CC,678,64,1.226431776673575e-10
lytic vacuole,CC,679,64,1.304119143488141e-10
vacuole,CC,774,69,2.766245598418462e-10
nucleoplasm,CC,3512,208,4.201521385746556e-51
nucleus,CC,7932,315,4.3722389507334087e-48
nuclear part,CC,5023,245,3.166804125750616e-47
nuclear lumen,CC,4594,232,2.5383273512188305e-46
intracellular organelle lumen,CC,5740,243,1.8027370667464616e-35
membrane-enclosed lumen,CC,5740,243,1.8027370667464616e-35
organelle lumen,CC,5740,243,1.8027370667464616e-35
chromosome,CC,1075,90,3.755166555317982e-30
intracellular part,CC,15063,405,5.504034482308614e-28
intracellular,CC,15073,405,6.8794908718002735e-28
intracellular membrane-bounded organelle,CC,11488,348,2.1171187745040878e-27
nucleoplasm,CC,3512,18,1.1715669261894728e-6
nuclear part,CC,5023,21,2.168625378292159e-6
nucleus,CC,7932,26,3.1226583776021763e-6
nuclear lumen,CC,4594,19,1.3182027584628592e-5
intracellular part,CC,15063,33,3.868628863463803e-5
intracellular,CC,15073,33,3.9543812909748634e-5
BRCA1-A complex,CC,7,2,5.25670910716179e-5
membrane-bounded organelle,CC,13019,31,6.084802062034682e-5
organelle,CC,14144,32,7.65580629414732e-5
intracellular membrane-bounded organelle,CC,11488,29,9.300483282808836e-5
intracellular organelle,CC,13294,31,1.0869745969825924e-4
transferase complex,CC,779,7,2.0111098209374308e-4
nucleoplasm,CC,3512,1024,8.43344560681457e-140
intracellular part,CC,15063,2683,1.718839352272896e-135
intracellular,CC,15073,2684,1.807457210098588e-135
intracellular organelle,CC,13294,2476,3.762577842498325e-130
intracellular membrane-bounded organelle,CC,11488,2242,5.333037809645818e-126
organelle,CC,14144,2548,1.0816929389328477e-116
membrane-bounded organelle,CC,13019,2408,1.3112611167708418e-113
nucleus,CC,7932,1704,3.022509803765994e-111
nuclear part,CC,5023,1203,2.888694849334419e-98
intracellular organelle part,CC,9811,1944,6.844495604352473e-98
nuclear lumen,CC,4594,1127,1.942495738352592e-97
organelle part,CC,10112,1967,8.137791172748654e-91
intracellular organelle lumen,CC,5740,1285,2.934371433799682e-84
membrane-enclosed lumen,CC,5740,1285,2.934371433799682e-84
organelle lumen,CC,5740,1285,2.934371433799682e-84
nucleoplasm,CC,3512,29,3.929926518564416e-8
nuclear lumen,CC,4594,29,1.3229077812238057e-5
intracellular organelle lumen,CC,5740,33,1.5814262793309898e-5
membrane-enclosed lumen,CC,5740,33,1.5814262793309898e-5
organelle lumen,CC,5740,33,1.5814262793309898e-5
nucleus,CC,7932,40,1.935835470396064e-5
nucleoplasm part,CC,1126,13,2.1688660694350104e-5
ciliary part,CC,462,33,8.867718864821389e-20
cilium,CC,611,34,5.178376122963399e-17
axoneme,CC,123,17,2.213502588597473e-15
ciliary plasm,CC,124,17,2.544308090045132e-15
plasma membrane bounded cell projection cytoplasm,CC,208,18,1.2549289168504217e-12
cytoskeleton,CC,2197,54,2.052800921951075e-11
cytoskeletal part,CC,1688,46,3.263369496902797e-11
cell projection part,CC,1467,42,6.261861101020973e-11
plasma membrane bounded cell projection part,CC,1467,42,6.261861101020973e-11
microtubule cytoskeleton,CC,1192,37,1.1415138494791143e-10
ciliary transition zone,CC,66,10,5.815150817260062e-10
intraciliary transport particle,CC,27,7,4.4693221943954794e-9
cell tip,CC,7,1,0.002389543431174923
nucleoplasm,CC,3512,542,1.4399818383797818e-87
intracellular part,CC,15063,1294,4.763785784161744e-71
intracellular,CC,15073,1294,9.407435840928092e-71
nucleus,CC,7932,856,7.053151368491903e-67
intracellular organelle,CC,13294,1195,2.515695807177893e-66
intracellular membrane-bounded organelle,CC,11488,1089,9.84369470443381e-66
nuclear lumen,CC,4594,585,4.111054678319693e-62
nuclear part,CC,5023,619,2.4365128987371705e-61
nucleoplasm part,CC,1126,240,6.963489875406597e-60
membrane-bounded organelle,CC,13019,1162,6.562294516070794e-58
organelle,CC,14144,1222,7.523057784861179e-57
intracellular organelle part,CC,9811,938,3.025307020339811e-48
intracellular organelle lumen,CC,5740,638,1.9146128300256544e-46
intracellular part,CC,15063,3807,2.3884812537492582e-182
intracellular,CC,15073,3808,4.927724037781083e-182
intracellular organelle,CC,13294,3483,1.6644519629353403e-165
nucleoplasm,CC,3512,1361,5.163878000358874e-164
intracellular membrane-bounded organelle,CC,11488,3134,2.810107144727213e-157
nucleus,CC,7932,2375,1.9221898880849742e-144
