Term,Ont,N,DE,P.DE
mitochondrial matrix,CC,469,27,8.32647057905242e-6
organelle,CC,14144,358,9.764628760119215e-6
intracellular organelle,CC,13294,340,1.2572710982547419e-5
organelle membrane,CC,2903,98,1.5711405295737278e-5
mitochondrion,CC,1573,85,5.627260412926205e-16
mitochondrial part,CC,1036,65,2.802001075207654e-15
mitochondrial envelope,CC,739,46,6.133306457504461e-11
envelope,CC,1182,61,9.09805317181894e-11
organelle envelope,CC,1182,61,9.09805317181894e-11
mitochondrial matrix,CC,469,33,1.7844611721051022e-9
intracellular membrane-bounded organelle,CC,11488,302,2.5184593054963507e-9
organelle part,CC,10112,274,2.6400991406194143e-9
mitochondrial membrane,CC,698,40,1.2220700049947861e-8
intracellular organelle,CC,13294,334,1.6629941065629117e-8
cilium,CC,611,36,3.390176296352434e-8
intracellular organelle part,CC,9811,262,6.679310121680635e-8
organelle,CC,14144,347,1.0280855171254498e-7
ciliary part,CC,462,29,2.0629995198542325e-7
intracellular part,CC,15063,362,3.244013457450339e-7
intracellular,CC,15073,362,3.635976387093448e-7
mitochondrial inner membrane,CC,473,28,1.0803789499425036e-6
motile cilium,CC,179,16,1.3764161915196484e-6
ubiquitin ligase complex,CC,282,4,0.0019782018108328897
transferase complex,CC,779,6,0.0033100071064229085
nucleoplasm part,CC,1126,7,0.004872439149157575
intercellular bridge,CC,59,2,0.005641466034449271
nucleus,CC,7932,1880,8.411130264866765e-167
nucleoplasm,CC,3512,1037,1.2838129762461316e-134
membrane-bounded organelle,CC,13019,1082,1.7391323014750534e-16
intracellular part,CC,15063,1214,3.786747829934811e-16
intracellular,CC,15073,1214,5.343000924377217e-16
intracellular membrane-bounded organelle,CC,11488,970,5.091072507614859e-15
organelle,CC,14144,1149,7.0026916339679284e-15
intracellular organelle,CC,13294,1090,2.3740681019858648e-14
intracellular part,CC,15063,1440,2.2890288868619534e-65
intracellular,CC,15073,1440,4.645443749209411e-65
intracellular organelle,CC,13294,1329,2.092688347853999e-63
nucleoplasm,CC,3512,532,1.4398277843139216e-60
intracellular membrane-bounded organelle,CC,11488,1198,1.6122858541165978e-59
membrane-bounded organelle,CC,13019,1297,3.06366643306291e-57
nucleus,CC,7932,920,1.1375256529700958e-56
organelle,CC,14144,1364,5.748377831051197e-55
nucleus,CC,7932,490,1.6324057076337574e-35
intracellular membrane-bounded organelle,CC,11488,618,9.856106677307683e-32
intracellular,CC,15073,734,7.219388134519437e-31
intracellular part,CC,15063,733,1.6239784220520925e-30
intermediate filament,CC,214,9,3.6146231015385654e-8
intermediate filament cytoskeleton,CC,251,9,1.4143917293613548e-7
intracellular part,CC,15063,3709,2.606978589750687e-144
intracellular,CC,15073,3710,5.208043278271044e-144
intracellular membrane-bounded organelle,CC,11488,3042,5.534752464885122e-129
intracellular organelle,CC,13294,3373,7.988519015248696e-128
nucleoplasm,CC,3512,1274,3.211256817778259e-127
organelle,CC,14144,3486,6.786830662459142e-113
membrane-bounded organelle,CC,13019,3284,2.70469489828729e-112
intracellular organelle part,CC,9811,2647,2.5937513181054716e-106
organelle part,CC,10112,2681,1.7461368627360256e-97
nucleus,CC,7932,2204,1.8024654140001667e-90
nuclear lumen,CC,4594,1438,5.796611721819147e-87
nuclear part,CC,5023,1530,8.138094242867689e-84
intracellular organelle lumen,CC,5740,1683,9.027486323995483e-80
membrane-enclosed lumen,CC,5740,1683,9.027486323995483e-80
organelle lumen,CC,5740,1683,9.027486323995483e-80
nucleoplasm,CC,3512,1094,8.581817620223232e-93
nucleus,CC,7932,1986,1.180865926440361e-84
intracellular part,CC,15063,3210,1.1418171970002319e-82
intracellular,CC,15073,3211,1.7957997937487946e-82
intracellular membrane-bounded organelle,CC,11488,2609,7.526843396398923e-77
intracellular organelle,CC,13294,2909,3.138193294257373e-75
membrane-bounded organelle,CC,13019,2854,3.308717866531358e-72
organelle,CC,14144,3030,9.115105177117092e-70
nuclear part,CC,5023,1329,5.138103073734652e-62
nuclear lumen,CC,4594,1237,2.5755896635703707e-61
intracellular organelle part,CC,9811,2225,9.49316298575375e-54
intermediate filament,CC,214,33,6.252640127735905e-29
intermediate filament cytoskeleton,CC,251,33,1.3029330445145976e-26
synapse,CC,1171,75,1.5445118719257735e-29
neuron part,CC,1729,87,6.02105405730047e-27
synapse part,CC,938,62,5.800298629779738e-25
axon,CC,606,50,2.447059345432836e-24
neuron projection,CC,1312,69,4.011831268603013e-22
somatodendritic compartment,CC,843,51,7.520696588019222e-19
presynapse,CC,491,38,1.1252437166018652e-17
synaptic membrane,CC,432,35,5.818089219288807e-17
cytoplasm,CC,11625,267,3.969898070435628e-7
cell junction,CC,1298,46,2.9759912320382107e-5
plasma membrane part,CC,2985,86,3.0657978295489494e-5
cytoplasm,CC,11625,286,1.308064796619774e-6
cell junction,CC,1298,49,2.8841589011321905e-5
cytoplasm,CC,11625,318,3.6106723952077667e-10
intracellular part,CC,15063,379,1.795771414349908e-8
intracellular,CC,15073,379,2.0393586506593215e-8
cytoplasmic part,CC,9735,267,1.8583189066191166e-7
synapse,CC,1171,53,4.490437763732262e-7
axon,CC,606,34,6.053009797150115e-7
perinuclear region of cytoplasm,CC,711,37,1.1717780847036793e-6
cytosol,CC,5085,156,1.2904900429669705e-6
distal axon,CC,285,21,1.440514543875019e-6
intracellular organelle part,CC,9811,588,2.439439057285776e-39
intracellular membrane-bounded organelle,CC,11488,644,3.8485718862869685e-36
cytoplasm,CC,11625,648,1.0169977124457821e-35
organelle part,CC,10112,589,5.761767403443291e-35
cytoplasmic part,CC,9735,574,6.573543256405154e-35
mitochondrial part,CC,1036,136,1.6566820719539314e-34
mitochondrial envelope,CC,739,111,2.4399580156053467e-33
intracellular part,CC,15063,757,4.2531414416908355e-33
intracellular,CC,15073,757,6.075516697347957e-33
intracellular organelle,CC,13294,697,1.3681848978051453e-31
mitochondrion,CC,1573,168,1.4467714216522939e-31
mitochondrial membrane,CC,698,103,2.840358643872502e-30
membrane-bounded organelle,CC,13019,682,2.67040090601376e-29
mitochondrial protein complex,CC,262,61,4.955701418075281e-29
envelope,CC,1182,136,1.5596278196074016e-28
organelle envelope,CC,1182,136,1.5596278196074016e-28
mitochondrial inner membrane,CC,473,81,2.4728980987215768e-28
protein-containing complex,CC,6151,396,3.2110899946613626e-26
organelle inner membrane,CC,532,82,1.8007291390507947e-25
organelle,CC,14144,710,3.935927553049238e-25
cytoplasm,CC,11625,316,7.145614628389613e-11
intracellular part,CC,15063,375,6.006392163812191e-9
intracellular,CC,15073,375,6.839788134057573e-9
cytoplasmic part,CC,9735,265,7.560017450419685e-8
cytosol,CC,5085,153,2.070792795168377e-6
perinuclear region of cytoplasm,CC,711,36,2.1395363207163663e-6
axon,CC,606,31,9.05673778434914e-6
cytoplasm,CC,11625,319,3.0328508902700757e-9
perinuclear region of cytoplasm,CC,711,40,8.341853507622534e-8
cytosol,CC,5085,163,9.611547223035012e-8
synapse,CC,1171,55,1.3426313627240607e-7
cytoplasmic part,CC,9735,270,2.6774141959809256e-7
axon,CC,606,35,3.00141565914559e-7
distal axon,CC,285,22,4.779721669614589e-7
synapse part,CC,938,45,1.1510130872803855e-6
axon part,CC,382,25,1.7249620690932235e-6
cytoplasm,CC,11625,277,2.616070630050892e-4
cell junction,CC,1298,46,2.8993802875426476e-4
membrane part,CC,6939,178,3.5190546249331514e-4
intracellular part,CC,15063,1412,6.32692252615816e-51
intracellular,CC,15073,1412,1.190698770379275e-50
intracellular membrane-bounded organelle,CC,11488,1171,4.286755136693909e-49
ribosomal subunit,CC,190,90,7.051974076652772e-49
intracellular organelle,CC,13294,1294,2.121572575683269e-48
nucleoplasm,CC,3512,499,3.504639009551096e-47
cytosolic ribosome,CC,112,67,2.4930203106802343e-45
intracellular organelle part,CC,9811,1031,7.825649933563306e-44
membrane-bounded organelle,CC,13019,1257,1.208968197208453e-41
ribosome,CC,272,99,3.763827393003384e-41
organelle,CC,14144,1330,7.353456415986384e-41
organelle part,CC,10112,1044,1.0617039926088579e-40
ribosomal subunit,CC,190,83,8.948206760905934e-52
cytoplasm,CC,11625,912,2.5859718444647178e-49
cytoplasmic part,CC,9735,803,1.6233073105171915e-46
cytosolic ribosome,CC,112,61,1.3368772004966749e-45
ribosome,CC,272,90,5.002768819170533e-44
intracellular part,CC,15063,1062,2.7030497766335195e-43
intracellular,CC,15073,1062,4.425837517925918e-43
cytosol,CC,5085,503,3.086604594446962e-42
nucleus,CC,7932,2714,2.5567267377311858e-205
nucleoplasm,CC,3512,1494,2.2532923247115155e-184
intracellular membrane-bounded organelle,CC,11488,3432,2.5624750247698045e-169
intracellular part,CC,15063,4125,1.2124954358507132e-167
intracellular,CC,15073,4126,3.0568070610489493e-167
intracellular organelle,CC,13294,3766,1.572980637463133e-154
lysosomal lumen,CC,95,7,1.2125235843310063e-4
nuclear part,CC,5023,45,9.864716967743649e-8
nucleoplasm,CC,3512,35,5.639676507438978e-7
nuclear lumen,CC,4594,41,6.731471937238082e-7
nucleus,CC,7932,57,1.128230738851993e-6
intracellular organelle,CC,13294,77,3.795108845473869e-6
organelle,CC,14144,79,1.0514177036308673e-5
intracellular organelle lumen,CC,5740,44,1.4625947120935275e-5
membrane-enclosed lumen,CC,5740,44,1.4625947120935275e-5
organelle lumen,CC,5740,44,1.4625947120935275e-5
organelle part,CC,10112,63,3.217165021607342e-5
intracellular part,CC,15063,81,3.375414084239742e-5
intracellular,CC,15073,81,3.513014937461303e-5
intracellular organelle part,CC,9811,61,6.371796938505992e-5
intracellular membrane-bounded organelle,CC,11488,1726,2.501512011235468e-117
nucleus,CC,7932,1344,9.022824806985641e-111
intracellular,CC,15073,2005,1.6931661692566884e-102
intracellular part,CC,15063,2004,2.3626875563886663e-102
intracellular organelle,CC,13294,1853,5.429635933438457e-99
