searchTUCR,ngenes,meancor,mediancor,mincor,maxcor
uc.135,1426,-0.082481466375478,-0.311776705786354,-0.693548851609187,0.643401252789978
uc.136,28,-0.010562915496676,-0.301210790313678,-0.499352005183959,0.568200254397965
uc.137,3204,0.453116540610746,0.431218950248398,-0.37140422876617,0.744754841961265
uc.138,2506,0.251142377453159,0.350859193126455,-0.54749562003504,0.815623875009
uc.139,342,-0.23076738193112,-0.320181438548492,-0.471322629418965,0.922871817025464
uc.14,85,0.315601004603728,0.310406316749466,0.300043199654403,0.373933808529532
uc.140,1898,0.401302717923884,0.39264885880913,-0.347714018287854,0.597357621139031
uc.141,3387,0.145990302051011,0.337434900520796,-0.647910816713466,0.693328053375573
uc.142,3241,0.459645598737709,0.43624451004392,-0.427285381716946,0.767470660234718
uc.143,2487,0.133282482111675,0.320258237934097,-0.522912616699067,0.524539803681571
uc.144,5456,0.179076659028957,0.351124391004872,-0.635735714114287,0.864475484196127
uc.145,3394,0.451133805661435,0.426685386516908,-0.400081599347205,0.740713274293806
uc.146,4309,0.522283928667536,0.480826553387573,-0.533940528475772,0.985595315237478
uc.147,3119,-0.164514294786572,-0.335954112367101,-0.784448124415005,0.701233590131279
uc.148,3611,-0.105960554032544,-0.326219790241678,-0.644774041807666,0.993104855161159
uc.149,3546,-0.100896474723295,-0.323759809921521,-0.642846857225142,0.993104855161159
uc.15,41,0.109793267995319,0.304989560083519,-0.400494396044832,0.667355461156311
uc.150,3762,0.494646760529265,0.460264717882257,-0.501639186886505,0.880027359781122
uc.151,2113,0.16235528345778,0.32718698250414,-0.665085079319366,0.843396452828377
uc.152,4000,0.500394687642499,0.463768689850481,-0.462589099287206,0.917481460148319
uc.153,1447,0.1747115781194,0.322293421652627,-0.537994096047232,0.670343437252502
uc.154,1446,0.0414397083163584,0.306055151558788,-0.542052463580291,0.608663930688555
uc.155,228,-0.147534598670579,-0.309130726954184,-0.448412412700698,0.426272589819282
uc.156,2732,0.411799009268248,0.404089567283462,-0.369453044375645,0.698298413612691
uc.157,1226,0.343302166470107,0.34436724506204,-0.380394556843545,0.698298413612691
uc.158,1931,0.380416459930879,0.371377828977368,-0.381128950968392,0.548940408476732
uc.159,531,0.317168138361108,0.318645450836393,-0.335879712962296,0.533803729570164
uc.16,1446,0.377210308458611,0.369328245374037,-0.374397004823961,0.565116279069767
uc.160,1041,0.350582726173926,0.348338013295894,-0.319934240526076,0.479417764657883
uc.161,1346,0.166043887696447,0.321992224062208,-0.528065375476996,0.771188230494156
uc.162,2537,0.413455527830748,0.401079991360069,-0.390841673266614,0.633880528955769
uc.163,859,0.0045582312873511,0.300789593683251,-0.494033647730818,0.700551995584035
uc.164,720,-0.16566944797775,-0.318975448196414,-0.467564259485924,0.700551995584035
uc.165,61,-0.193929071518248,-0.309083927328581,-0.419036647706818,0.387613699090407
uc.166,4195,0.243069232752455,0.353017975856193,-0.543336453308374,0.899491204070368
uc.167,2563,-0.0478773752330465,-0.30734154126767,-0.546727626178991,0.522689418484652
uc.168,3512,0.473307148394749,0.445108839129287,-0.46328749370005,0.826843785249718
uc.169,2191,0.14591392972188,0.322629418964648,-0.564816281469748,0.885172918616651
uc.17,748,0.193988086597981,0.314979480164159,-0.452941176470588,0.40702714378285
uc.170,1448,-0.135238558423024,-0.324304605563156,-0.656257949936401,0.598192814457485
uc.171,323,0.309445143014707,0.316439868481052,-0.386495308037536,0.571937024503804
uc.172,35,0.255043422509763,0.315520675834593,-0.32000383996928,0.571937024503804
uc.173,5780,-0.0856248636516098,-0.326730986152111,-0.71546307629539,0.895826433388533
uc.174,5767,0.148184695431055,0.334446924424605,-0.775731394148847,0.803583171334629
uc.175,933,0.3470939254994,0.345023639810882,-0.351436388508892,0.479504163966688
uc.176,625,0.0965784836921305,0.309239926080591,-0.687479300165599,0.480893752849977
uc.177,593,-0.0148869028272057,-0.302039983680131,-0.477152182782538,0.981174550603595
uc.178,646,-0.0219662960962566,-0.301569587443301,-0.473197014423885,0.981174550603595
uc.179,681,-0.086796521486859,-0.30921832625339,-0.449874001007992,0.9921880624955
