RAWID,TCGAID
b26f3576-01a8-4048-a131-d90c232ef063_gdc_realn_rehead.bam,TCGA-06-5414-01A-01R-1849-01.bam
b8d8a075-fe40-4c7d-a42a-bda1f6080a30_gdc_realn_rehead.bam,TCGA-27-2526-01A-01R-1850-01.bam
b9e2c5fc-8cfb-4383-a5cf-8a1cc05eadc0_gdc_realn_rehead.bam,TCGA-06-0211-01A-01R-1849-01.bam
bcbe7584-921c-425c-9a65-540c3079ce94_gdc_realn_rehead.bam,TCGA-06-0882-01A-01R-1849-01.bam
c0efacf5-acea-4071-87c2-72ff7982fb69_gdc_realn_rehead.bam,TCGA-06-1804-01A-01R-1849-01.bam
c296258b-680b-4a08-9460-30a48257921c_gdc_realn_rehead.bam,TCGA-14-0817-01A-01R-1849-01.bam
c57195d3-0dcd-413d-ab94-cd4d8a68a453_gdc_realn_rehead.bam,TCGA-06-2565-01A-01R-1849-01.bam
c577383a-c659-4717-999a-042b20645d32_gdc_realn_rehead.bam,TCGA-06-0187-01A-01R-1849-01.bam
c7f46b91-ed9c-4368-8001-52503d67998d_gdc_realn_rehead.bam,TCGA-06-0645-01A-01R-1849-01.bam
c967f25f-9bb8-41b6-9792-8340334047d7_gdc_realn_rehead.bam,TCGA-06-2561-01A-02R-1849-01.bam
cf83d3ed-12b5-4ff0-9f18-af066c54b6f4_gdc_realn_rehead.bam,TCGA-06-2559-01A-01R-1849-01.bam
cfc3ea52-200c-4b9b-8b4c-45ff00f32c60_gdc_realn_rehead.bam,TCGA-28-5209-01A-01R-1850-01.bam
cfd9931a-a82a-4e99-b1cb-bb73a3e96a89_gdc_realn_rehead.bam,TCGA-15-0742-01A-01R-1850-01.bam
d0a12311-39ab-4e55-bd2d-7ab341a445ce_gdc_realn_rehead.bam,TCGA-32-2632-01A-01R-1850-01.bam
d38d6f9c-5737-4b02-9154-cc11dee20435_gdc_realn_rehead.bam,TCGA-26-5136-01B-01R-1850-01.bam
d4ec4331-81fc-4cea-8498-37baa7706291_gdc_realn_rehead.bam,TCGA-06-5418-01A-01R-1849-01.bam
d5961821-edab-41a2-8a10-38bed8ec6610_gdc_realn_rehead.bam,TCGA-32-2634-01A-01R-1850-01.bam
d7fe06b0-5302-4cd0-9813-71feb04e825e_gdc_realn_rehead.bam,TCGA-19-1389-02A-21R-2005-01.bam
d81f7be6-789d-4d2b-a379-491edb63fb5c_gdc_realn_rehead.bam,TCGA-28-5213-01A-01R-1850-01.bam
d9218a68-50c9-4557-a53e-ff1835f1e68f_gdc_realn_rehead.bam,TCGA-14-0790-01B-01R-1849-01.bam
d9d05cb6-c64b-4b15-bd03-da1f5c212feb_gdc_realn_rehead.bam,TCGA-06-2569-01A-01R-1849-01.bam
dad69b47-8893-43d6-ad10-82f703027675_gdc_realn_rehead.bam,TCGA-28-5218-01A-01R-1850-01.bam
dc6da322-f307-4d57-8017-2402c75fefa2_gdc_realn_rehead.bam,TCGA-06-0132-01A-02R-1849-01.bam
ded112d6-be1d-414e-b770-f34bfd131bad_gdc_realn_rehead.bam,TCGA-76-4928-01B-01R-1850-01.bam
df19a62e-ea78-40a2-b35f-ddbfe6131d01_gdc_realn_rehead.bam,TCGA-19-1390-01A-01R-1850-01.bam
e0ddac88-c49a-4ab2-a2f2-5fe3799bd97e_gdc_realn_rehead.bam,TCGA-06-0749-01A-01R-1849-01.bam
e2c712df-331f-409d-b31c-ab7565e6aa40_gdc_realn_rehead.bam,TCGA-41-5651-01A-01R-1850-01.bam
e3e93056-baa8-4902-bd50-d172632cf1f6_gdc_realn_rehead.bam,TCGA-14-1402-02A-01R-2005-01.bam
e416e8f1-36e2-480a-bfdd-9e4916b119ed_gdc_realn_rehead.bam,TCGA-06-5859-01A-01R-1849-01.bam
e65ea3ef-ce47-4252-a55d-f714b45d0637_gdc_realn_rehead.bam,TCGA-28-2513-01A-01R-1850-01.bam
e8a17879-2876-49e8-a549-7cc12e08caf9_gdc_realn_rehead.bam,TCGA-14-0871-01A-01R-1849-01.bam
e9ce4f2b-d4ca-47c7-986b-1498b9d7d8d8_gdc_realn_rehead.bam,TCGA-28-5220-01A-01R-1850-01.bam
eb37bf42-7e45-4042-95bc-2638c4a06e32_gdc_realn_rehead.bam,TCGA-06-5858-01A-01R-1849-01.bam
ecad90d3-43c4-4190-894e-3b083036dad4_gdc_realn_rehead.bam,TCGA-27-1834-01A-01R-1850-01.bam
ecb6ea81-0e90-4f2a-a9bc-d9bc1a67a863_gdc_realn_rehead.bam,TCGA-27-1835-01A-01R-1850-01.bam
ecca34f6-614f-4456-bbf3-de881eb5a3fd_gdc_realn_rehead.bam,TCGA-76-4925-01A-01R-1850-01.bam
ecd60f2b-1bfe-4c64-bedc-acb06a92eee8_gdc_realn_rehead.bam,TCGA-06-0238-01A-02R-1849-01.bam
ed9ce158-cfb4-4a75-a4a6-1bf5a1e9a543_gdc_realn_rehead.bam,TCGA-06-5411-01A-01R-1849-01.bam
ee4af37a-8795-47a9-91a1-e3bba9d6d886_gdc_realn_rehead.bam,TCGA-32-2615-01A-01R-1850-01.bam
