SAMPID	SMTSD
GTEX-1I1HK-2826-SM-CKZPL	Cortex
GTEX-1ICLZ-2826-SM-CL53U	Cortex
GTEX-1IDFM-2826-SM-ACKWJ	Cortex
GTEX-1IDJH-3026-SM-CL53B	Cortex
GTEX-1IKJJ-2926-SM-A9G2N	Cortex
GTEX-1IKK5-2926-SM-ARU7Q	Cortex
GTEX-1IL2U-3026-SM-C1YSH	Cortex
GTEX-1IOXB-3126-SM-CKZO1	Cortex
GTEX-1IY9M-3026-SM-A9G37	Cortex
GTEX-1J1OQ-3226-SM-A9G2Q	Cortex
GTEX-1J8Q2-3026-SM-CKZN8	Cortex
GTEX-1JJ6O-3126-SM-CNNP8	Cortex
GTEX-1JJE9-2926-SM-CY8HV	Cortex
GTEX-1JJEA-2826-SM-ARU8R	Cortex
GTEX-1JMLX-2926-SM-CL54C	Cortex
GTEX-1JMOU-2726-SM-CY8IO	Cortex
GTEX-1JMPZ-2726-SM-ARZNF	Cortex
GTEX-1JMQK-3026-SM-ARL95	Cortex
GTEX-1JMQL-2826-SM-ARU91	Cortex
GTEX-1KD4Q-2926-SM-D3L9N	Cortex
GTEX-1KWVE-2326-SM-D4P3N	Cortex
GTEX-1LC47-2926-SM-CXZKC	Cortex
GTEX-1LG7Y-3026-SM-D5OVI	Cortex
GTEX-1LKK1-3126-SM-EWRNY	Cortex
GTEX-1M4P7-2726-SM-E9TJQ	Cortex
GTEX-1N2DW-2826-SM-E9TK5	Cortex
GTEX-1N5O9-2926-SM-EXUSN	Cortex
GTEX-1NV5F-3226-SM-EXUSL	Cortex
GTEX-1NV8Z-3126-SM-E76R3	Cortex
GTEX-1O9I2-3026-SM-E76PX	Cortex
GTEX-1OJC4-2826-SM-E6CQX	Cortex
GTEX-1PIIG-2726-SM-E76PQ	Cortex
GTEX-1PPGY-3126-SM-EXUSR	Cortex
GTEX-1PWST-3126-SM-EXUSE	Cortex
GTEX-1QMI2-3126-SM-EXUT5	Cortex
GTEX-1QP6S-2926-SM-DTXF8	Cortex
GTEX-1R9K4-3126-SM-DTX9Y	Cortex
GTEX-1R9PO-2926-SM-EVYBR	Cortex
GTEX-1RQEC-2926-SM-EVR5A	Cortex
GTEX-N7MT-1126-SM-CYPQY	Cortex
GTEX-NPJ7-2726-SM-2I3FT	Cortex
GTEX-NPJ8-1526-SM-2D7VU	Cortex
GTEX-OHPN-2526-SM-2I5H3	Cortex
GTEX-OXRN-2426-SM-2I5EQ	Cortex
GTEX-P44G-2426-SM-2I5ER	Cortex
GTEX-PVOW-2526-SM-2XCF7	Cortex
GTEX-PWO3-0926-SM-2I5EY	Cortex
GTEX-Q2AG-2926-SM-2HMJ3	Cortex
GTEX-QDT8-2926-SM-32PKC	Cortex
GTEX-QMR6-1426-SM-32PLA	Cortex
GTEX-QVJO-1426-SM-2S1QY	Cortex
GTEX-QVUS-2826-SM-3GADB	Cortex
GTEX-RNOR-2326-SM-2TF4I	Cortex
GTEX-RU72-3026-SM-CYPRV	Cortex
GTEX-T2IS-3026-SM-32QPM	Cortex
GTEX-T5JC-2426-SM-3NMDB	Cortex
GTEX-T6MN-2626-SM-32PMQ	Cortex
GTEX-TSE9-3026-SM-3DB76	Cortex
GTEX-UTHO-3026-SM-3GAFB	Cortex
GTEX-WHSE-3026-SM-3P5ZH	Cortex
GTEX-WL46-2926-SM-3LK82	Cortex
GTEX-WVLH-3026-SM-3MJG9	Cortex
GTEX-WWYW-3126-SM-3NB39	Cortex
GTEX-WZTO-2926-SM-3NM9I	Cortex
GTEX-X4XX-3026-SM-3NMB2	Cortex
GTEX-X4XY-3026-SM-EWRM9	Cortex
GTEX-X585-3026-SM-46MWF	Cortex
GTEX-XLM4-3026-SM-4AT6L	Cortex
GTEX-Y111-2726-SM-4TT3N	Cortex
GTEX-Y8DK-0826-SM-4TT3T	Cortex
