searchTUCR,ngenes,meancor,mediancor,mincor,maxcor
uc.306,2,0.28554017495184,0.28554017495184,-0.302862691106175,0.873943041009854
uc.307,8862,-0.0587480220342509,-0.320679778803219,-0.790507502290863,0.996035146883653
uc.308,8774,-0.0582470518938201,-0.320441501786736,-0.78823465713498,0.996035146883653
uc.309,8842,-0.0576235229263026,-0.320155906057796,-0.782496080281656,0.994687564551369
uc.310,676,0.323547026516178,0.322425566300341,0.300058147417809,0.387443069674074
uc.311,37,-0.303829984948272,-0.330245939008,-0.509869500450893,0.927106069443851
uc.312,48,-0.27091116086148,-0.321051958676205,-0.537184500209749,0.927106069443851
uc.313,2334,0.284922978241478,0.348838234611636,-0.452435867220053,0.627258763289051
uc.314,4309,0.459087625133123,0.480215864326332,-0.402027697826342,0.971738534994463
uc.315,4180,0.474637366507449,0.487253248839099,-0.393168724878996,0.971738534994463
uc.316,5511,0.442221929318404,0.487991511750965,-0.496902171291919,0.94214049835704
uc.317,689,0.0510796876688683,0.304575082512005,-0.564847474500219,0.999071916253159
uc.318,1855,0.361417344762351,0.362198627575344,-0.307605482054833,0.445173536828063
uc.319,21,0.0817024085441302,0.303092914841787,-0.324982642222305,0.459627947523548
uc.320,1924,0.368450072716765,0.366681620593104,-0.306751470292493,0.47668388643145
uc.321,4550,0.4386345351143,0.478432676846863,-0.421227174408584,0.815320161138416
uc.322,0,NaN,NA,Inf,-Inf
uc.323,657,-0.118412848278636,-0.314121723747897,-0.427650598627211,0.420344589423722
uc.324,402,-0.144128920339142,-0.312696156537581,-0.584128120873831,0.491308644491783
uc.325,0,NaN,NA,Inf,-Inf
uc.326,126,-0.104475101510266,-0.308615008585616,-0.395187322952943,0.983530176143907
uc.327,127,-0.0879487923543049,-0.309379296789334,-0.396769678897037,0.983530176143907
uc.328,416,-0.181331908052532,-0.323520630503644,-0.622368192361486,0.424033356052382
uc.329,5074,0.456740396535868,0.496625356824041,-0.451495589805001,0.900663735939745
uc.330,5112,0.240269798797312,0.364009842292191,-0.55279221352387,0.872029636073603
uc.331,685,0.00891741594105385,0.300945828264013,-0.436125107035838,0.599316972585176
