target,role,tag
RPRM,TSG,cancermine
RPS6KA6,TSG,cancermine
SERPINB3,ONC,cancermine
SIRT7,ONC,cancermine
SMAD3,TSG,cancermine
SNAI2,ONC,cancermine
TFG,ONC,cancermine
TGFB1,ONC,cancermine
TP53INP1,TSG,cancermine
TTN,ONC,cancermine
USP9X,TSG,cancermine
ZBTB16,ONC,cancermine
ZFP36,TSG,cancermine
ABHD5,TSG,cancermine
ADAMTS9,TSG,cancermine
AIM2,TSG,cancermine
ANXA6,TSG,cancermine
BCL6B,TSG,cancermine
BIRC2,ONC,cancermine
BTG3,TSG,cancermine
CALR,ONC,cancermine
CCNE1,ONC,cancermine
CDH3,ONC,cancermine
CDH4,TSG,cancermine
CHEK1,ONC,cancermine
CHL1,TSG,cancermine
CIC,TSG,cancermine
CST6,TSG,cancermine
DNMT3B,TSG,cancermine
DUSP6,TSG,cancermine
E2F3,ONC,cancermine
E2F5,ONC,cancermine
EEF1A2,ONC,cancermine
EGLN1,TSG,cancermine
ETV1,ONC,cancermine
FAT4,TSG,cancermine
FBP1,TSG,cancermine
FLII,ONC,cancermine
FLT1,ONC,cancermine
FUT1,ONC,cancermine
GLIPR1,TSG,cancermine
HACE1,TSG,cancermine
HTATIP2,TSG,cancermine
IGF2,ONC,cancermine
IL11,ONC,cancermine
IL2,ONC,cancermine
IL24,TSG,cancermine
IRX1,TSG,cancermine
KIF5B,ONC,cancermine
LATS2,TSG,cancermine
LRP1B,TSG,cancermine
MEF2D,ONC,cancermine
MLLT1,ONC,cancermine
MMP9,ONC,cancermine
MUC4,ONC,cancermine
MYO18B,TSG,cancermine
NOB1,ONC,cancermine
NR0B2,TSG,cancermine
NRG1,ONC,cancermine
NTRK2,ONC,cancermine
PAX3,ONC,cancermine
PCGF2,TSG,cancermine
PDGFRB,ONC,cancermine
PHF6,TSG,cancermine
PIM3,ONC,cancermine
PTPRG,TSG,cancermine
RASAL1,TSG,cancermine
RHOC,ONC,cancermine
SETBP1,ONC,cancermine
SETD7,TSG,cancermine
SLIT2,TSG,cancermine
SMARCA1,TSG,cancermine
SPHK1,ONC,cancermine
SS18,ONC,cancermine
UBE2C,ONC,cancermine
USP39,ONC,cancermine
YEATS4,ONC,cancermine
ZIC2,ONC,cancermine
ACTL6A,ONC,cancermine
AJAP1,TSG,cancermine
ALKBH5,ONC,cancermine
ATF1,ONC,cancermine
ATRX,TSG,cancermine
BDNF,ONC,cancermine
BHLHE41,TSG,cancermine
BRD4,ONC,cancermine
CD8A,ONC,cancermine
CDK12,TSG,cancermine
CEP55,ONC,cancermine
CFLAR,ONC,cancermine
CYGB,TSG,cancermine
DNAH8,ONC,cancermine
DPP4,TSG,cancermine
ERRFI1,TSG,cancermine
FABP3,ONC,cancermine
FES,ONC,cancermine
FRK,TSG,cancermine
FSCN1,ONC,cancermine
GATA4,TSG,cancermine
GLI2,ONC,cancermine
GRM1,ONC,cancermine
HOXB13,TSG,cancermine
ILF3,ONC,cancermine
INPP5D,TSG,cancermine
JUNB,ONC,cancermine
KCTD11,TSG,cancermine
KDR,ONC,cancermine
LPA,ONC,cancermine
MLLT11,ONC,cancermine
MMP14,ONC,cancermine
