"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"188","uc.426",6.71680292416264,-1.29441719175676,0.368989756962589,-3.50800304705477,0.000451483878743157,0.00254717770395393
"189","uc.427",11.327476881017,-1.14909376818297,0.559796176414675,-2.05270028020299,0.0401016548664327,0.0997264838125761
"190","uc.428",0.643571070442685,1.73887519100779,1.84923648193201,0.940320617723852,0.347053126974576,0.497575731075456
"191","uc.429",5.68436762712974,-0.242731515872602,0.378135098716218,-0.64191744351869,0.520926787650376,0.649869061821261
"192","uc.430",14.2151510027667,-4.87868025348366,1.41896347297136,-3.43820002869245,0.000585594949094034,0.0031176745177119
"193","uc.431",0.370848067962964,-0.243112746619116,2.74585088232593,-0.0885382189484311,0.929448909268756,NA
"194","uc.432",0.0858859228863095,-1.73958072558989,5.12588752495471,-0.339371614597661,0.734329799364334,NA
"195","uc.433",0.123230020328609,0.11434437992346,3.12578763397545,0.036580981599839,0.97081910786463,NA
"196","uc.434",2.0678944183786,2.20085492975022,1.70388137386667,1.29167145289918,0.196470947614415,0.333031471741026
"197","uc.435",29.5916616602053,0.23939057011032,0.418216738994696,0.572407911471367,0.567045657274323,0.689206618809306
"198","uc.436",48.5601280880512,0.0619521346299509,0.361407259440726,0.171419176044834,0.863894177636182,0.931314510735734
"199","uc.437",8.84797450577395,-0.810171417240649,0.359969101622977,-2.25066933130611,0.0244064886058491,0.0661777582091772
"200","uc.438",8.89881496141992,-0.806781542862262,0.365208265334081,-2.20909990118719,0.0271676930053142,0.071218367843432
"201","uc.439",8.78642046466067,-0.473462814383547,0.400121450444605,-1.18329775586249,0.23669116189468,0.383988236893514
"202","uc.440",8.79724912710966,-0.496250436034506,0.397733724798459,-1.24769514148182,0.212142721227894,0.353259685568917
"203","uc.441",7.00214613793679,-0.320356059844756,0.407325841188481,-0.786485971305018,0.431582834618518,0.576460464614134
"204","uc.442",7.02842614094997,-0.559354722556604,0.336851089594942,-1.66054004227571,0.0968058594386116,0.190586535769767
"205","uc.443",775.450588358848,0.033119788906787,0.231296100688098,0.14319216280887,0.88613841921232,0.934604480131043
"206","uc.444",51.9053745815219,1.82099106514301,1.67361464645351,1.08805875295236,0.276569171167693,0.424972141062552
"207","uc.445",0.0891011166832984,0.0969622418136676,3.15637943059241,0.0307194505432033,0.975493279191846,NA
"208","uc.446",2.49052757522239,-3.36728121141972,1.03872497887024,-3.24174471579773,0.00118800388644866,0.00561331836346992
"209","uc.447",2.41744267364999,-3.40517884817974,1.24338460729999,-2.73863680488541,0.00616944866291046,0.0221559283203866
"210","uc.448",2.60255620089653,-3.51160352691148,1.02124267780125,-3.43855931919337,0.000584818393799911,0.0031176745177119
"211","uc.449",3.37751615207892,-2.5977101570959,0.728454168989904,-3.56605846692863,0.000362390556327953,0.00213069888270127
"212","uc.450",0.0537397180662593,-0.0247247760305037,4.11747175069462,-0.00600484411977632,0.995208856380118,NA
"213","uc.451",5.59573179896573,0.753282517036129,0.832182610261907,0.905188966636847,0.365365286048339,0.513412929837444
"214","uc.452",12.6701493457951,1.1435961688036,0.629908498703277,1.81549569684771,0.069447766662243,0.150869286197287
"215","uc.453",5.64371393763627,0.471093192657745,0.4813605158989,0.978670200604257,0.32774296059106,0.483653153035077
"216","uc.47",0.110624870045954,0.166486048487303,3.35004936079322,0.0496965956489319,0.960364169387863,NA
"217","uc.48",174.378746677312,0.362562404012609,0.275685205938024,1.31513188304386,0.188465582968637,0.322352897566267
"218","uc.49",261.354230135767,-0.828931479857436,0.222072898525383,-3.73269987180668,0.000189438268209851,0.00123461492040213
"219","uc.50",827.446524855304,0.946701065694447,0.215474383400165,4.3935666539827,1.11505980111936e-05,9.5793773823436e-05
"220","uc.51",0.420552586490065,-0.0373150153231573,1.96293106203106,-0.0190098450449641,0.984833251619485,NA
"221","uc.52",1.95907827363582,-2.40548518064766,1.03734364863115,-2.31888939005108,0.0204010345697269,0.0575491870698266
"222","uc.53",2.6394787022363,-1.97825089078567,0.76061059690077,-2.60087211359712,0.00929871110633462,0.030041989728158
"223","uc.54",0.525949353956888,-2.86344763748613,1.0481142064274,-2.73199964271687,0.00629512092441655,0.0222388384058828
"224","uc.55",0.0761598293856914,0.0274150175422384,4.3786607136016,0.00626105088642244,0.995004436801655,NA
"225","uc.56",0.220265622516318,0.536434335388446,2.15142820558155,0.249338710906899,0.803098789688595,NA
"226","uc.57",0.0210014487410845,-0.146512857473758,8.61180177666705,-0.0170130317990739,0.98642621940476,NA
"227","uc.58",0.0381757767810684,-0.688726827451092,7.38405537876597,-0.0932721644303531,0.925687345228299,NA
"228","uc.59",0.0559450255340599,-0.636556939531891,5.22308139172078,-0.121873831133651,0.902998940838351,NA
"229","uc.60",0.131835897388801,0.218646066629626,2.2364446079773,0.0977650266184661,0.922118879019977,NA
"230","uc.61",37.2371260262086,-2.77126318689725,0.522506079607011,-5.30379127642223,1.13421992822685e-07,1.58790789951759e-06
"231","uc.62",7.0069050951642,-4.31992810748388,0.691494232829457,-6.24723663971512,4.17777871206762e-10,1.11845969551656e-08
"232","uc.63",81.5742227139046,0.27818246605639,0.240462890929624,1.15686235402454,0.247328601502311,0.391172432501563
"233","uc.64",78.0487151542989,-0.583400823307928,0.433391517527634,-1.34612884588986,0.178260967269832,0.309643823551584
"234","uc.65",0.21362030964174,0.412767200934241,5.13774795179313,0.0803401032528622,0.935966763496666,NA
