id,counts
lgg_tcga_analysis/readcounts/TCGA-DU-7294-01A-11R-2027-07,154959683
lgg_tcga_analysis/readcounts/TCGA-DU-7298-01A-11R-2027-07,164597073
lgg_tcga_analysis/readcounts/TCGA-DU-7299-01A-21R-2027-07,186871662
lgg_tcga_analysis/readcounts/TCGA-DU-7300-01A-21R-2090-07,157106172
lgg_tcga_analysis/readcounts/TCGA-DU-7301-01A-11R-2090-07,150879074
lgg_tcga_analysis/readcounts/TCGA-DU-7302-01A-11R-2090-07,142255527
lgg_tcga_analysis/readcounts/TCGA-DU-7304-01A-12R-2090-07,160445450
lgg_tcga_analysis/readcounts/TCGA-DU-7304-02A-12R-A36H-07,95020587
lgg_tcga_analysis/readcounts/TCGA-DU-7306-01A-11R-2090-07,166281011
lgg_tcga_analysis/readcounts/TCGA-DU-7309-01A-11R-2090-07,179918866
lgg_tcga_analysis/readcounts/TCGA-DU-8158-01A-11R-2256-07,197370523
lgg_tcga_analysis/readcounts/TCGA-DU-8161-01A-11R-2256-07,173176601
lgg_tcga_analysis/readcounts/TCGA-DU-8162-01A-21R-2256-07,160481189
lgg_tcga_analysis/readcounts/TCGA-DU-8163-01A-11R-2256-07,128798273
lgg_tcga_analysis/readcounts/TCGA-DU-8164-01A-11R-2256-07,180981398
lgg_tcga_analysis/readcounts/TCGA-DU-8165-01A-11R-2256-07,116770914
lgg_tcga_analysis/readcounts/TCGA-DU-8166-01A-11R-2256-07,156854824
lgg_tcga_analysis/readcounts/TCGA-DU-8167-01A-11R-2256-07,131462829
lgg_tcga_analysis/readcounts/TCGA-DU-8168-01A-11R-2256-07,209858464
lgg_tcga_analysis/readcounts/TCGA-DU-A5TP-01A-11R-A28M-07,117440891
lgg_tcga_analysis/readcounts/TCGA-DU-A5TR-01A-11R-A28M-07,118384462
lgg_tcga_analysis/readcounts/TCGA-DU-A5TS-01A-11R-A28M-07,105836298
lgg_tcga_analysis/readcounts/TCGA-DU-A5TT-01A-11R-A28M-07,125815084
lgg_tcga_analysis/readcounts/TCGA-DU-A5TU-01A-11R-A28M-07,120057186
lgg_tcga_analysis/readcounts/TCGA-DU-A5TW-01A-11R-A28M-07,115359790
lgg_tcga_analysis/readcounts/TCGA-DU-A5TY-01A-11R-A28M-07,120308332
lgg_tcga_analysis/readcounts/TCGA-DU-A6S2-01A-21R-A32Q-07,131066184
lgg_tcga_analysis/readcounts/TCGA-DU-A6S6-01A-21R-A32Q-07,114743673
lgg_tcga_analysis/readcounts/TCGA-DU-A6S7-01A-21R-A32Q-07,129091108
lgg_tcga_analysis/readcounts/TCGA-DU-A6S8-01A-12R-A32Q-07,119233025
lgg_tcga_analysis/readcounts/TCGA-DU-A76K-01A-11R-A33Z-07,176252470
lgg_tcga_analysis/readcounts/TCGA-DU-A76L-01A-11R-A32Q-07,128173607
lgg_tcga_analysis/readcounts/TCGA-DU-A76O-01A-11R-A32Q-07,125789874
lgg_tcga_analysis/readcounts/TCGA-DU-A76R-01A-11R-A32Q-07,127887028
lgg_tcga_analysis/readcounts/TCGA-DU-A7T6-01A-11R-A33Z-07,181535413
lgg_tcga_analysis/readcounts/TCGA-DU-A7T8-01A-21R-A34R-07,150863168
lgg_tcga_analysis/readcounts/TCGA-DU-A7TA-01A-11R-A33Z-07,128599070
lgg_tcga_analysis/readcounts/TCGA-DU-A7TB-01A-11R-A33Z-07,163510665
lgg_tcga_analysis/readcounts/TCGA-DU-A7TC-01A-21R-A34R-07,142209134
lgg_tcga_analysis/readcounts/TCGA-DU-A7TD-01A-12R-A34F-07,116406689
lgg_tcga_analysis/readcounts/TCGA-DU-A7TG-01A-21R-A34R-07,102884091
lgg_tcga_analysis/readcounts/TCGA-DU-A7TI-01A-11R-A33Z-07,125011695
lgg_tcga_analysis/readcounts/TCGA-DU-A7TJ-01A-11R-A34R-07,151811388
lgg_tcga_analysis/readcounts/TCGA-E1-5302-01A-01R-1470-07,140686248
lgg_tcga_analysis/readcounts/TCGA-E1-5303-01A-01R-1470-07,131949957
lgg_tcga_analysis/readcounts/TCGA-E1-5304-01A-01R-1470-07,133199825
lgg_tcga_analysis/readcounts/TCGA-E1-5305-01A-01R-1896-07,118623374
lgg_tcga_analysis/readcounts/TCGA-E1-5307-01A-01R-1896-07,135049449
lgg_tcga_analysis/readcounts/TCGA-E1-5311-01A-01R-1470-07,170786453
lgg_tcga_analysis/readcounts/TCGA-E1-5318-01A-01R-1470-07,141831195
lgg_tcga_analysis/readcounts/TCGA-E1-5319-01A-01R-1896-07,131201528
lgg_tcga_analysis/readcounts/TCGA-E1-5322-01A-01R-1470-07,173056724
lgg_tcga_analysis/readcounts/TCGA-E1-A7YD-01A-11R-A34F-07,119033874
lgg_tcga_analysis/readcounts/TCGA-E1-A7YE-01A-11R-A34F-07,163710105
lgg_tcga_analysis/readcounts/TCGA-E1-A7YH-01A-11R-A34F-07,145879480
lgg_tcga_analysis/readcounts/TCGA-E1-A7YI-01A-11R-A34F-07,139711302
lgg_tcga_analysis/readcounts/TCGA-E1-A7YJ-01A-11R-A34F-07,159524327
lgg_tcga_analysis/readcounts/TCGA-E1-A7YL-01A-11R-A34F-07,151290946
lgg_tcga_analysis/readcounts/TCGA-E1-A7YM-01A-11R-A34F-07,116474104
lgg_tcga_analysis/readcounts/TCGA-E1-A7YN-01A-11R-A34F-07,99683402
lgg_tcga_analysis/readcounts/TCGA-E1-A7YO-01A-11R-A34F-07,130019920
lgg_tcga_analysis/readcounts/TCGA-E1-A7YQ-01A-11R-A34R-07,135400792
lgg_tcga_analysis/readcounts/TCGA-E1-A7YS-01A-11R-A34F-07,142238388
lgg_tcga_analysis/readcounts/TCGA-E1-A7YU-01A-11R-A34R-07,124122683
lgg_tcga_analysis/readcounts/TCGA-E1-A7YV-01A-11R-A34R-07,128442814
lgg_tcga_analysis/readcounts/TCGA-E1-A7YW-01A-11R-A34R-07,130207279
lgg_tcga_analysis/readcounts/TCGA-E1-A7YY-01A-11R-A34R-07,146303793
lgg_tcga_analysis/readcounts/TCGA-E1-A7Z2-01A-21R-A34R-07,139319133
lgg_tcga_analysis/readcounts/TCGA-E1-A7Z3-01A-11R-A34R-07,115754090
