File Name,TUCR.Run.20190717 (CELLFRAC U44.U48.GAPDH.PPIA.62.110.210.427).pcrd,,,,,,
Created By User,admin,,,,,,
Notes,,,,,,,
ID,,,,,,,
Run Started,07/17/2019 21:06:12 UTC,,,,,,
Run Ended,07/17/2019 23:26:53 UTC,,,,,,
Sample Vol,20,,,,,,
Lid Temp,105,,,,,,
Protocol File Name,qPCR Protocol (TUCRs).prcl,,,,,,
Plate Setup File Name,RUN1.pltd,,,,,,
Base Serial Number,BR004664,,,,,,
Optical Head Serial Number,788BR04573,,,,,,
CFX Manager Version,3.1.1517.0823. ,,,,,,
,,,,,,,
Well group,All Wells,,,,,,
Amplification step,3,,,,,,
Melt step,7,,,,,,
,,,,,,,
,,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),End RFU
A12,SYBR,GAPDH,Unkn,U87 NF,17.48316234,NaN,2146.229777
A07,SYBR,PPIA,Unkn,U87 NF,15.59117045,NaN,2502.310015
A08,SYBR,PPIA,Unkn,U87 NF,15.63770192,NaN,2358.733638
A09,SYBR,PPIA,Unkn,U87 NF,16.40930025,NaN,2442.916131
A01,SYBR,U44,Unkn,U87 NF,23.80772904,NaN,1589.914098
A02,SYBR,U44,Unkn,U87 NF,23.85242544,NaN,1714.264112
A03,SYBR,U44,Unkn,U87 NF,23.70479987,NaN,1635.974875
A04,SYBR,U48,Unkn,U87 NF,20.6875251,NaN,1959.260138
A05,SYBR,U48,Unkn,U87 NF,21.61413996,NaN,1992.483402
A06,SYBR,U48,Unkn,U87 NF,20.90872406,NaN,2027.932701
E04,SYBR,uc.110,Unkn,U87 NF,26.14232719,NaN,2941.975825
E05,SYBR,uc.110,Unkn,U87 NF,26.34636362,NaN,3259.351173
E06,SYBR,uc.110,Unkn,U87 NF,26.29458592,NaN,3314.867344
E07,SYBR,uc.210,Unkn,U87 NF,23.55655117,NaN,2995.997431
E08,SYBR,uc.210,Unkn,U87 NF,23.50365319,NaN,2915.22092
E09,SYBR,uc.210,Unkn,U87 NF,23.56648189,NaN,2936.898057
E10,SYBR,uc.427,Unkn,U87 NF,27.59119526,NaN,2641.895692
E11,SYBR,uc.427,Unkn,U87 NF,27.35582163,NaN,2684.905973
