trait,#000000,#0000cd,#0000FF,#004C54,#008080,#00bfff,#00fa9a,#00ff00,#00FF00,#00ff7f,#00ffff,#32cd32,#40e0d0,#4169e1,#4b0082,#565A5C,#66cdaa,#7f007f,#7fff00,#7fffd4,#800080,#8a2be2,#8b0000,#8fbc8f,#9370db,#964B00,#9932cc,#b03060,#ba55d3,#c0c0c0,#d2691e,#d8bfd8,#daa520,#dc143c,#dda0dd,#deb887,#f4a460,#fa8072,#FF0000,#ff00ff,#ff4500,#ff7f50,#ff8c00,#FFA500,#FFC0CB,#ffd700,#ffff00,#FFFF00
uc.52,0.0018438012530207538,-0.07447436350599043,0.3920529437844492,-0.12387531177117211,0.09303413411808252,-0.025989387685887794,0.037728586453420816,0.3558216281390129,0.5074987068237563,-0.08276084532465433,-0.08266926560728197,-0.07609381627447896,-0.030649550029048914,0.15854410681889086,-0.12428618721146772,-0.015910960719871206,0.019741146196310472,-0.05815056644963914,-0.017791204369501715,-0.049372960314193914,-0.12598157899623919,-0.002857021262788516,-0.025087297535558266,0.012827389294821077,-0.04974421249383667,0.028318058052734647,0.024462562147207465,-0.01880728883178632,0.00483682504942444,-0.0982512298831707,-0.06808023794846255,-0.08474035085957059,0.018660655263406812,-0.21435716895989002,-0.07064391323175599,-0.034161930726910775,0.04657059625230123,0.002958924761062001,-0.19154907527425946,-0.0290334247484667,-0.01438998648491619,-0.036452183706701884,-0.02897803538876223,-0.23072637865234524,0.24200570631580284,-0.028107457682726558,-0.04599343239299135,-0.21063228863723849
uc.53,0.028084771284807318,-0.0715268288268756,0.3897840160831953,-0.11856204640772698,0.09111094255510503,-0.023111186876050172,0.0398731111219761,0.3551998420819332,0.5082053608074261,-0.0810180111131496,-0.07216016918553823,-0.07382068486289682,-0.024095306338645237,0.16426193779368972,-0.120565863666589,-0.004859370274498161,0.02335909023293583,-0.05485227905255748,-0.011085249797865428,-0.048342752386259305,-0.12370009895109937,0.003133026823492953,-0.02156317047020172,0.025701228792908537,-0.05703776481199876,0.03237039409955472,0.027943034489854083,-0.015562804275556383,0.008010470423620773,-0.0953239069608431,-0.06150391909339956,-0.08006513651727493,0.022273868125491723,-0.21203756237718446,-0.06570998782639512,-0.029847114637153834,0.05114837205979325,0.010322213103172934,-0.18786878582439737,-0.022766301254609916,-0.009160821174575338,-0.03192691173224915,-0.04123000048265268,-0.22867752872245925,0.24668692194315558,-0.024793037283511052,-0.03828739106055863,-0.20805394654865017
uc.54,0.0898075758211679,-0.0585414836108302,0.38545655664513756,-0.15841457200911904,0.11060042495741546,-0.019309226792376392,0.020364936019464205,0.364803320505784,0.5040634897734433,-0.0661625027429577,-0.06486080762927172,-0.06818226238569686,-0.009916623758916429,0.008785778974527593,-0.15879830143925971,-0.02669750238451579,0.01953488720897487,-0.06089765391534862,0.0256956262543446,-0.03430569176027711,-0.11610716205184862,-0.0022480754906469215,-0.007812840935721781,-0.02943791927463832,-0.08649780313852969,0.05938346226011223,-0.04665665141889661,-0.02142493819054894,-0.024215975190640858,-0.08001894004434226,-0.04641248268394747,-0.10067050497616929,-0.025485242528332397,-0.22875755207634801,-0.06548070544370632,-0.02272445463525844,0.026735050906150915,-0.0066831719693726446,-0.23852997388395858,-0.02286738420528301,-0.04846528959292639,-0.0213029805204843,-0.04928300227990381,-0.24482480398932635,0.22860409137507878,-0.03802585911205107,-0.015112568279531348,-0.24073164924543558
uc.55,0.009773938417952441,-0.003432785465610159,-0.04360872347715271,0.0316538540867417,0.03032697548579261,-0.00448802014984164,-0.004471906042017804,0.011512937587471838,-0.019209183178174556,0.0021043477458164554,0.010569722743917247,-0.007550599057828988,0.007507282720565948,0.010612338217894061,0.028662478258376523,0.028235722745971577,0.040165052456892385,0.009557609664863895,0.0028290659064525003,0.054514970003406195,0.2525052245718863,0.05914386668775396,0.01876197569044821,1.9810515023623268e-4,0.01928331440799992,-0.005901637189784596,0.013001465664045746,0.01951432141224621,-0.003393184104886075,0.058740391671232996,0.057504472432914094,0.031028678568177773,0.006310591678185192,0.07227503390256118,0.28297954609068166,0.006406874915468136,0.0185894982120467,0.011023728949753533,0.0784541402168992,0.005835666458620046,0.015407655504136074,0.006804631247928278,0.060493947847929885,0.02668669318897589,0.024004622628834845,0.05506872519463887,0.010141289760345189,0.046054261143292786
uc.56,0.018198104672313864,0.009132335721304346,-0.07265147111003314,0.058656946483517616,-9.760403505418667e-4,-0.0026637657274937274,0.0022187375488713222,-0.01637265727743242,-0.04719679892066155,0.017038599071375258,0.05476057007470928,0.001561249948179102,0.060482316174857095,0.024156935543652742,0.060757645343278315,0.044013185923262116,0.04351313475656202,0.014569295882268945,0.012850453138415919,0.05026642379086241,0.2920828968982908,0.12917701763407544,0.023870783246869257,0.002235311101312624,0.03303911407411497,-0.013297603577800252,0.027844772866023906,0.021251070526000233,-0.00761528079035056,0.09688149680205466,0.011111098655966746,0.05341305528883511,0.013517173756019933,0.1308802396911104,0.27872259031376295,0.013258958345408767,0.13531798498298214,0.020292691922305536,0.1703395666390872,0.022838702881655057,0.03186466418728329,0.020385297006944855,0.11985784779806613,0.08005908582197364,0.019461942876355134,0.08201865702831032,0.024700110643764133,0.08894804020869805
uc.57,0.6461567912624666,0.057118535257626286,0.032097603017329654,0.0260406819170322,0.07778875728742035,0.06589465819618592,0.03904963955208414,0.05288139821310602,0.041892739258595026,0.03877949303470578,0.2892163090902022,0.052913088600659436,0.2554875065398267,0.14390826772888768,0.05081251483742038,0.0728159907383322,0.050568573895837694,0.062254289138059464,0.18110086927299354,0.0586430258833352,0.07661399015999301,0.15540663260809767,0.09004757753408403,0.09004682344073267,0.02799303789117485,0.10155226063890689,0.05782479203044097,0.11669743200573367,0.10843868087757735,0.08036595537125431,0.12844527280562398,0.09771302561999418,0.0906796491929201,-0.007676106410811604,0.13431845784622437,0.10143911753766556,0.15508101391768828,0.1940736980379575,0.09031366353181497,0.1610361065860261,0.1287196486628491,0.11498488222107059,0.11295447650238957,0.03470665828457855,0.02060912576727865,0.0811379545822244,0.2008841791039228,0.020586978629175634
uc.58,0.17245692033927446,0.005543615290941848,0.021633957955779822,-0.01576242861944833,0.02745483599180401,0.018121827473533723,0.007674202891879056,0.024984417222039562,0.02002433898116711,0.0036511113441241574,0.09882415505126732,0.014909749137712522,0.03318618397350494,0.030927501800788224,0.025898571829363705,0.016156182043187,0.010276527184935876,0.011663413140473759,0.0423735951367449,0.014926588219203197,0.06543248928711416,0.05434679733467123,0.02302217067247225,0.01154038535538418,4.510770448085012e-4,0.022534831469926086,0.015270376808727228,0.028151283015787607,0.008603160456501658,0.03568678022745798,0.05392589953228336,0.022142148523074306,0.029825524293290318,0.00117682846417381,0.05247426544926723,0.0233565477423346,0.03730645791159829,0.04206798937482631,0.05073128440694471,0.0430250179249581,0.034456770400390184,0.026923590097900876,0.05721837276404939,-0.017982890208149915,0.0019692173983129305,0.06825264150972873,0.04646766985519107,0.03882599532289395
uc.59,0.17312511905584593,0.014803637909036254,-0.03357241960023311,0.03836073432952225,0.00190843125908431,0.02174457810022132,0.012717002306434716,0.0046985133227766315,-3.0902945356980286e-4,0.013977983574711608,0.11171476689089536,0.021749854513537337,0.0329324276380785,0.04042609536294563,0.043413237734716406,0.020782459268988196,0.008550471849415058,0.020163236076180598,0.03928557313651045,0.033725803679530666,0.08875833328139433,0.060814011860746996,0.023896256179313867,0.021312150107271385,0.012127783186307197,0.01680434701264364,0.028729171175565414,0.03090973342492353,0.009602136040230354,0.05006017550068329,0.06492363515001502,0.033827295870239305,0.03329765795166887,0.019678749864181423,0.061850375085136834,0.027658320305276037,0.051489964637764125,0.04718238103546272,0.10472417419716978,0.04748613034083718,0.04184164129105089,0.027309177369970468,0.0651968722821017,0.051416885754024644,0.02260192658567432,0.048324933892225024,0.04887114280344475,0.07773595287211026
uc.6,-0.01842169784414791,0.05296400265277619,-0.22262344998124953,0.19328721785667788,-0.14949393973986935,0.012360799294865889,0.03209825052103351,-0.165571552809222,-0.14158316546918379,0.8553293193283092,0.01404201495301665,0.024787033441942833,0.031462400656502694,0.028347538630938616,0.09726255245942599,0.11376604529973434,0.1549911290483843,0.021203142200919293,-0.017075277116969243,-0.016122220273477712,0.025401490780542667,0.004890334947611325,0.10719490411742387,0.029124121092909246,0.03254700577591831,-0.03084614772387875,0.03367595627233184,0.007751173096649358,0.02824768534925129,0.02724333321212634,0.011065810960209786,0.02066722048466246,0.010927803136025625,0.09511879931577832,0.0043252032769063005,0.01590758858728798,0.010737898019730146,0.041442421547364494,0.15832321958787324,0.02075555683740271,0.04243803161460474,-0.001915588223574038,-3.4364324872431727e-4,0.21062974432625792,0.07111317578206701,0.037383727567053104,0.01202515508608458,0.14135128935430122
uc.60,0.3451797076526571,0.035622189951351337,-0.030374908204083385,0.04283979388732127,0.02040137031939085,0.04113946468709592,0.011648721185042411,-0.001446706358620192,-0.020457965789093632,0.037982203748082956,0.2007292097165083,0.031935563098379395,0.1910005878726882,0.0937556293985802,0.1252577457885715,0.1479924070783723,0.05569694240761675,0.064467231868185,0.0954066469495911,0.045457154981981635,0.09939205562276049,0.10077770034968131,0.05545233954695889,0.05212970021123508,0.039388040280753274,0.051709552341398686,0.05331480545908502,0.05425654343193447,0.03039954197027962,0.08662361163230586,0.07862957124762791,0.11057683467000488,0.08310260223991658,0.056307239829972905,0.1001434909719077,0.05697448154854654,0.29900853769666697,0.09047313147351227,0.16677136341891155,0.1053434924212054,0.09809526103434339,0.08408864088475779,0.12194968437258873,0.05981997645964202,-4.772028364510372e-4,0.1452264746828112,0.12411891660695548,0.12550888352647555
uc.61,0.04086092833653204,-0.0950987692124305,0.7876593028678525,-0.5628198211119864,0.2830255715402579,-0.028442024110314892,-0.026228598137484516,0.6092629686766101,0.7540224720413113,-0.09321261082262661,-0.1053412968074125,-0.088974413782336,0.0062161610227048,-0.03361545525649657,-0.1999188981387914,-0.022057756096306582,0.06917424469498043,-0.07845625256869967,0.019761463680300535,-0.06758786162122828,-0.127245298253347,0.010831106293694446,-0.00581746551472521,-0.06310896831670788,-0.09244743995673309,0.08040437851469337,-0.08511016001098096,-0.05684898979617696,-0.050184745566133455,-0.1519695017427648,-0.09558080692952667,-0.1192729429406272,0.056359709731144736,-0.3367675506716175,-0.08886205927406803,-0.03785959524533467,-0.014328756118608572,-0.07545227566139871,-0.4154056173930417,0.0029618457359955933,-0.052473518663954055,0.0047103410830459215,-0.06866565300364631,-0.49314420793411656,0.009926488242149426,-0.1354504043425363,-0.015189989895656293,-0.36181802340937663
uc.62,0.006001735806626399,-0.11285965825375774,0.6093899065367112,-0.3918659909359202,0.19812293542303341,-0.03329626175392319,-0.008897595748515948,0.6098576428371117,0.7757391992415792,-0.09033543698851071,-0.12019323492207065,-0.08247313251651739,-0.007809859711400055,-0.05214726674169187,-0.18503802637735395,-0.012126225300897759,0.06072005475920234,-0.07022501972303177,-0.006140346415192544,0.005726140401786617,-0.1120642191945444,3.8144476693892013e-4,-0.007130395711025289,-0.07547682023825229,-0.08409534798327033,0.04510627959250789,-0.07092112539947389,-0.03487283367879135,-0.06043752747274674,-0.13167558679800137,-0.09672402575634541,-0.11633426743123049,0.03711925774759347,-0.28908303279004116,-0.0735449884205264,-0.043411082117351445,-0.031029728552423027,-0.08076583920257302,-0.36249575243629745,-0.023219883302458073,-0.05798457243268831,-0.019041613012664778,-0.07285652441643635,-0.4135669333755961,0.22832124170380844,-0.10959943755376872,-0.036563224679324685,-0.30729725437997163
uc.63,-0.036085993809836354,-0.08414069392949032,-0.41708412124944977,0.6818108241859169,-0.2190056011056516,0.005773437589523803,0.15107289676310762,-0.16575442465771265,-0.12851078267104585,-0.045853290794378526,-0.048974637736191616,-0.02685017633572966,0.0968391517374679,0.11616086012106773,0.2092151614978543,0.24725939619676854,0.043587962921847474,0.04994633848744315,0.059092271135600435,0.061238444017780586,0.13303426275324906,0.052688139235288575,0.006577646716568034,0.125527075894312,0.05775751086416286,-0.019183815282160812,0.22177702605576474,0.046958470467358016,0.1567595870847885,0.20773578490614744,0.03976358865585442,0.06989197280480854,-0.0027138153667805864,0.19658480154209867,0.18328765461285257,0.021577440018569812,0.017254059181814135,0.11712965757892578,0.3182274788017185,0.025574403864451808,0.056115029834863515,0.01537932995159561,-0.007538440629332533,0.11649620356802097,0.5688967569444606,0.10098914041104796,0.003148426963957885,0.19186499965594797
uc.64,-0.05269123584611748,-0.13417741315113182,-0.23595517216973308,0.4675838150936562,-0.2658026625417787,0.054412683975484516,0.10612292799557893,-0.016823631277425796,0.1399170737554626,-0.05891404496419093,-0.07539971662673432,-0.04042922292566253,0.05599169484810541,0.01144103367119396,0.1855440785939148,0.07646526274833537,0.019172868207276428,0.08492635736005621,-0.02037713428798757,-0.00813548786597788,0.07373254523643352,0.014113121151580595,-0.022264466821465784,0.059911787624180396,0.0546251211778842,-0.04307524011236011,0.10714681804479374,0.036489169772903285,0.07595251799970197,0.0679482196254061,-0.026946432476751037,0.06689235651155968,0.05263111805823293,0.1088322100660596,0.08309263615480869,0.004626301057243231,-0.015620477091545805,0.04919784308692713,0.20420772301733303,0.022106460858080212,0.06016706344140554,-0.005646048208297009,-0.006370750811274318,0.04243151857958473,0.5952223130528996,0.063413531071834,-0.04541614129984554,0.1879769478703717
uc.65,0.006920907919040374,0.02301120151337725,-0.02104589048096647,0.07652002791912299,-0.039102014811373646,0.005844628565378748,0.05110109427610923,6.961692809904232e-4,0.045926897296678953,0.012840402636121823,0.05531818372115065,0.013582733766318954,0.04972801197297495,0.018635247955729614,0.06073090014568322,0.01746917783493998,0.006149313532205215,-0.009374129820749526,0.007767272065106228,-0.01359005962482048,0.02687307162661258,0.021544689840766587,0.004275229673677799,0.022918596090684012,-0.018398707999078966,0.0026174397089665105,0.0857554439960544,0.009400992256896296,0.006657454386668016,0.03661576521928924,0.0074464326905612,-0.002145557670786969,0.031614866823197245,0.03543813960874741,0.01840464303111844,0.02877081097084959,0.0606448728918335,0.02297134260608321,0.129182851419845,0.017078672352512696,0.0027406453673321173,0.007600445850118468,0.015055242883517918,0.08441655568845502,0.0709965445159035,0.052961107868570174,0.0706651418652882,0.03976062866715953
uc.66,-0.04572528313786861,-0.17551087092001233,0.19495159228301373,-0.1574764540774795,0.013851500492126101,-0.05205962404773393,-0.06085202132796078,0.14182193859032136,0.20142754962518752,-0.10916822003234032,-0.162266344390667,-0.10882191105017645,-0.033482970916328056,0.016488555411553907,-0.08599228492193642,-0.041611607388114175,0.06486604890301358,-0.05092037626408359,-0.05654074338413517,-0.07021826645827571,-0.0223997257278861,-0.022232510454355793,-0.0408555359580178,-0.08667825234155623,-0.08030893178628382,-0.0244211006567262,-0.06986850391751531,-0.07844885395790684,-0.07433216068137793,-0.08232867191003755,-0.10343520661696907,-0.07168609200582071,-0.03478654713334129,-0.055449513667539335,-0.05291150124066773,-0.055679612849508744,-0.06412424564215342,-0.03317152182572681,-0.18706028703718658,-0.06951539052624509,-0.06004455439597936,-0.0526120576178422,-0.07675799231442164,-0.35555995974590593,0.10322951951314147,-0.06153143027285556,-0.07660482722783982,-0.1572810614083901
uc.67,0.3671093969420939,0.030732769025563364,-0.027721539962723387,0.08379826229812073,0.0026804746600952905,0.037907344122057436,0.02211510424543339,-0.013424120298261462,0.005334894048091585,0.02676575557772867,0.17399449238907944,0.026230025067037418,0.09009365125699982,0.10310001803687545,0.08589560720231251,0.046353502479821104,0.07144632129395527,0.06007937210169603,0.20892748834520916,0.0014081666498680075,0.07867938823850298,0.12338292136208295,0.05349906232177337,0.059717046696822734,0.03792833388957643,0.055064205084687116,0.05324736100537398,0.052050883632602685,0.07316972324855309,0.10902971150868443,0.07091673530010384,0.09513119102640592,0.1689468404205324,0.04754571716910327,0.10130291873780171,0.0600047687146671,0.20596832003377932,0.10591537187244879,0.13073503065994121,0.11890111952919757,0.10718477992936992,0.07892022776574559,0.10830933367442967,0.04039214537955801,0.05520492080130049,0.06095477949902732,0.11491131782652877,0.06877066741757859
uc.68,-0.0010562590783529694,-0.05543986725597928,-0.40759840168670886,0.3140868868656622,-0.18518215240747343,0.07627319898123798,-6.136936943635027e-4,-0.21881701028808542,-0.27578946191238857,0.04298752408973492,0.12556717273712653,0.05848111038218219,0.0805623215872203,0.0934200031384529,0.35995211601816546,0.03290632641889407,-0.01767291525420404,0.18345446078706382,0.006138154533544575,0.10674360149542962,0.3226221825006753,0.10181976189491443,0.022070801412856257,0.07232789468599285,0.19845412984712485,-0.08295930166014828,0.07261697736044723,0.04338388419219155,0.03135540805366997,0.16905116981734297,0.03200484528559862,0.418789338184701,0.11495090046859041,0.4820390411203031,0.24124669477852193,0.019076125498664224,0.031419207980603395,0.10685000853139655,0.4611210307290223,0.10898907746265006,0.2645541490734963,0.06772905812407991,0.14392077688554236,0.22619576469929134,0.10975754980067091,0.17865903842902678,0.014137641834301433,0.6462075103554332
uc.69,0.01831825599417681,-0.035311562045521286,-0.3560874342271676,0.2501325444412412,-0.1666482531799307,0.07123595648854954,-0.004665214790176901,-0.2034368023535642,-0.25033942095614947,0.06445182601555732,0.1838711685183704,0.07917061803820029,0.09278273524137456,0.11863544741181889,0.4108804147306941,0.04584754417200337,0.014579804085565112,0.2597775354293166,0.015696833765190956,0.08949838796942561,0.3236534745553669,0.14401970714754478,0.08846454176930779,0.07836812340301569,0.24728528973823716,-0.07205634506526046,0.07889566510537618,0.04648555665201358,0.021140972470849638,0.17585743880834956,0.03275617455903405,0.48585272009378433,0.15076135234817153,0.487994252186261,0.230687752507524,0.029845555205061856,0.029573216166045233,0.13179494091595126,0.510577572628304,0.15835652952715007,0.27953711489053545,0.10229445913607497,0.19011913684618642,0.251545077878308,0.04840681190992885,0.180841357177512,0.03370677070847998,0.6673552278447928
