target,driver_citations,oncogene_citations,tumor_suppressor_citations,all_citations,No_driver,role
ITPKA,0,1,0,1,1,ONC
ITPKB,0,0,1,1,1,TSG
JARID2,0,0,1,1,1,TSG
JMJD6,0,1,0,1,1,ONC
JPH3,0,0,1,1,1,TSG
JUND,0,1,0,1,1,ONC
JUP,0,0,1,1,1,TSG
KAT6B,0,0,1,1,1,TSG
KAT7,0,1,0,1,1,ONC
KAT8,0,1,0,1,1,ONC
KCNA1,0,1,0,1,1,ONC
KCNA10,1,0,0,1,0,DRV
KCNA3,0,0,1,1,1,TSG
KCNJ2,0,1,0,1,1,ONC
KCNJ3,0,1,0,1,1,ONC
KCNT1,0,1,0,1,1,ONC
KCTD21,0,0,1,1,1,TSG
KDM1B,0,1,0,1,1,ONC
KHDRBS1,0,1,0,1,1,ONC
KHK,1,0,0,1,0,DRV
KHSRP,0,1,0,1,1,ONC
KIAA0100,0,0,1,1,1,TSG
KIAA1549,0,1,0,1,1,ONC
KIF23,0,1,0,1,1,ONC
KIF2C,0,1,0,1,1,ONC
KLF14,0,1,0,1,1,ONC
KLF17,0,0,1,1,1,TSG
KLF7,0,1,0,1,1,ONC
KLHL20,0,0,1,1,1,TSG
KLLN,0,0,1,1,1,TSG
KPNA4,0,1,0,1,1,ONC
KRT13,0,0,1,1,1,TSG
KRT16,0,1,0,1,1,ONC
KRT17,0,1,0,1,1,ONC
KRT5,1,0,0,1,0,DRV
KRT6A,0,1,0,1,1,ONC
LACRT,0,1,0,1,1,ONC
LACTB,0,0,1,1,1,TSG
LANCL1,0,1,0,1,1,ONC
LARP1,0,1,0,1,1,ONC
LARS2,0,1,0,1,1,ONC
LCOR,0,0,1,1,1,TSG
LDLR,0,1,0,1,1,ONC
LDLRAP1,0,0,1,1,1,TSG
LECT2,0,0,1,1,1,TSG
LEFTY2,0,0,1,1,1,TSG
LEO1,0,1,0,1,1,ONC
LGALS1,0,1,0,1,1,ONC
LGALS4,1,0,0,1,0,DRV
LGALSL,0,1,0,1,1,ONC
LHX4,0,1,0,1,1,ONC
LHX8,0,1,0,1,1,ONC
LILRB2,1,0,0,1,0,DRV
LIMK1,0,1,0,1,1,ONC
LIMK2,0,1,0,1,1,ONC
LIN9,1,0,0,1,0,DRV
LMBR1,0,1,0,1,1,ONC
LMNB1,0,0,1,1,1,TSG
LMX1A,0,0,1,1,1,TSG
LMX1B,0,1,0,1,1,ONC
LNX2,0,1,0,1,1,ONC
LOXL1,0,0,1,1,1,TSG
LPAR3,1,0,0,1,0,DRV
LPAR6,0,1,0,1,1,ONC
LRRK2,0,1,0,1,1,ONC
LSP1,1,0,0,1,0,DRV
LSR,1,0,0,1,0,DRV
LTBP1,0,1,0,1,1,ONC
LYAR,1,0,0,1,0,DRV
LYPD4,0,1,0,1,1,ONC
MACROD1,0,1,0,1,1,ONC
MAD2L1,0,1,0,1,1,ONC
MADD,1,0,0,1,0,DRV
MAFF,0,1,0,1,1,ONC
MAGEC2,0,1,0,1,1,ONC
MAL2,0,1,0,1,1,ONC
MAN1C1,0,0,1,1,1,TSG
MAP2,0,0,1,1,1,TSG
MAP2K3,0,0,1,1,1,TSG
MAP3K13,0,1,0,1,1,ONC
MAP3K2,0,0,1,1,1,TSG
MAP3K6,0,1,0,1,1,ONC
MAP4K3,0,0,1,1,1,TSG
MAP9,0,1,0,1,1,ONC
MAPK11,0,1,0,1,1,ONC
MAPK13,0,0,1,1,1,TSG
MAPK3,0,1,0,1,1,ONC
MAPK8IP3,0,1,0,1,1,ONC
MAPKAP1,1,0,0,1,0,DRV
MAPKAPK3,0,1,0,1,1,ONC
MAPKAPK5,0,1,0,1,1,ONC
MARVELD2,0,1,0,1,1,ONC
MAS1,0,1,0,1,1,ONC
MAST1,0,1,0,1,1,ONC
MAT1A,0,1,0,1,1,ONC
MAT2A,0,1,0,1,1,ONC
MBD1,0,0,1,1,1,TSG
MBD2,0,0,1,1,1,TSG
MBD3,0,1,0,1,1,ONC
MBL2,1,0,0,1,0,DRV
MBNL3,0,1,0,1,1,ONC
MCM2,0,1,0,1,1,ONC
MCM3,0,1,0,1,1,ONC
MCM4,1,0,0,1,0,DRV
MCM6,0,0,1,1,1,TSG
ME1,0,1,0,1,1,ONC
MED23,0,1,0,1,1,ONC
MED29,0,1,0,1,1,ONC
MEF2A,0,0,1,1,1,TSG
MEF2B,0,1,0,1,1,ONC
MEGF10,0,0,1,1,1,TSG
MEIS2,1,0,0,1,0,DRV
MFHAS1,0,1,0,1,1,ONC
MFN2,0,0,1,1,1,TSG
MFSD2A,0,0,1,1,1,TSG
MGA,0,0,1,1,1,TSG
MGAT3,0,1,0,1,1,ONC
MIA2,0,0,1,1,1,TSG
MICA,0,1,0,1,1,ONC
MKLN1,1,0,0,1,0,DRV
MKNK2,0,1,0,1,1,ONC
MLF1,0,1,0,1,1,ONC
MMP1,0,1,0,1,1,ONC
MMP10,0,1,0,1,1,ONC
MMP11,0,1,0,1,1,ONC
MMP16,0,1,0,1,1,ONC
MMP24,1,0,0,1,0,DRV
MMP8,0,0,1,1,1,TSG
MMS22L,0,1,0,1,1,ONC
MON1B,0,1,0,1,1,ONC
MORC2,0,1,0,1,1,ONC
MRAS,0,1,0,1,1,ONC
MRO,0,1,0,1,1,ONC
MRPL42,0,1,0,1,1,ONC
MRPL48,0,0,1,1,1,TSG
MS4A3,1,0,0,1,0,DRV
MSH3,0,0,1,1,1,TSG
MSLN,0,1,0,1,1,ONC
MSMB,0,0,1,1,1,TSG
MSR1,0,1,0,1,1,ONC
MSX2,0,1,0,1,1,ONC
MT1F,0,0,1,1,1,TSG
MT1H,0,0,1,1,1,TSG
MT1X,0,0,1,1,1,TSG
MTA2,0,1,0,1,1,ONC
MTFP1,0,0,1,1,1,TSG
MTHFD1L,0,1,0,1,1,ONC
MTMR14,0,1,0,1,1,ONC
MTO1,0,0,1,1,1,TSG
MUC13,0,1,0,1,1,ONC
MUC6,0,0,1,1,1,TSG
MUL1,0,0,1,1,1,TSG
MUTYH,0,1,0,1,1,ONC
MVP,0,0,1,1,1,TSG
MXD1,0,0,1,1,1,TSG
MYCBP2,0,1,0,1,1,ONC
MYCT1,0,0,1,1,1,TSG
MYF5,0,1,0,1,1,ONC
MZB1,0,0,1,1,1,TSG
N4BP2L1,0,1,0,1,1,ONC
NAA10,0,1,0,1,1,ONC
NAB2,0,1,0,1,1,ONC
NAGA,0,0,1,1,1,TSG
NAIF1,0,0,1,1,1,TSG
NAV3,0,0,1,1,1,TSG
NBEAL2,1,0,0,1,0,DRV
NCK1,1,0,0,1,0,DRV
NCOA1,0,1,0,1,1,ONC
NCOA6,0,0,1,1,1,TSG
NDC80,0,1,0,1,1,ONC
NDRG3,0,0,1,1,1,TSG
NDUFA13,0,0,1,1,1,TSG
NDUFA4,0,1,0,1,1,ONC
NEFL,0,0,1,1,1,TSG
NEFM,0,0,1,1,1,TSG
NEK8,0,1,0,1,1,ONC
NEUROG2,0,1,0,1,1,ONC
NFAT5,0,0,1,1,1,TSG
NFATC3,0,0,1,1,1,TSG
NFATC4,0,1,0,1,1,ONC
NFE2L3,0,0,1,1,1,TSG
NFIA,0,1,0,1,1,ONC
NFIC,0,1,0,1,1,ONC
NFKBIA,0,0,1,1,1,TSG
NFKBIB,0,0,1,1,1,TSG
NFKBIE,1,0,0,1,0,DRV
NFYA,0,1,0,1,1,ONC
NFYC,0,1,0,1,1,ONC
NINL,0,1,0,1,1,ONC
NKAIN2,0,0,1,1,1,TSG
NKX3-2,0,1,0,1,1,ONC
NLRC5,0,1,0,1,1,ONC
NLRP6,0,0,1,1,1,TSG
NNAT,0,0,1,1,1,TSG
NNT,0,1,0,1,1,ONC
NOL3,0,0,1,1,1,TSG
NOL4,0,0,1,1,1,TSG
NOP56,0,1,0,1,1,ONC
NOS1,0,1,0,1,1,ONC
NOX1,0,1,0,1,1,ONC
NOX4,0,1,0,1,1,ONC
NPPA,0,0,1,1,1,TSG
NPRL2,0,0,1,1,1,TSG
NR0B1,0,1,0,1,1,ONC
NR2C2,0,1,0,1,1,ONC
NR2F6,1,0,0,1,0,DRV
NR5A1,0,0,1,1,1,TSG
NRL,0,1,0,1,1,ONC
NRN1,0,1,0,1,1,ONC
NRP1,0,0,1,1,1,TSG
NTN4,0,0,1,1,1,TSG
NUCKS1,0,1,0,1,1,ONC
NUDCD1,0,1,0,1,1,ONC
NUDT21,0,1,0,1,1,ONC
NUF2,0,1,0,1,1,ONC
NUP153,0,1,0,1,1,ONC
OBSCN,1,0,0,1,0,DRV
OGG1,0,0,1,1,1,TSG
OLIG2,0,1,0,1,1,ONC
OMD,0,1,0,1,1,ONC
OPN1MW,0,1,0,1,1,ONC
OPRM1,0,1,0,1,1,ONC
OSMR,0,0,1,1,1,TSG
OSTM1,0,1,0,1,1,ONC
P4HB,0,1,0,1,1,ONC
PACS1,0,1,0,1,1,ONC
PADI4,0,0,1,1,1,TSG
PAF1,0,0,1,1,1,TSG
PAFAH1B1,0,1,0,1,1,ONC
PAFAH1B3,1,0,0,1,0,DRV
PAIP2B,0,0,1,1,1,TSG
PAM,0,1,0,1,1,ONC
PAMR1,0,0,1,1,1,TSG
PANX1,0,0,1,1,1,TSG
PANX2,0,0,1,1,1,TSG
PAOX,0,0,1,1,1,TSG
PARP15,0,0,1,1,1,TSG
PARP6,0,0,1,1,1,TSG
PARPBP,0,1,0,1,1,ONC
PASD1,0,1,0,1,1,ONC
PAX7,0,1,0,1,1,ONC
PBLD,0,0,1,1,1,TSG
PCDH20,0,0,1,1,1,TSG
PCDHGB7,0,0,1,1,1,TSG
PCF11,1,0,0,1,0,DRV
PCK1,0,0,1,1,1,TSG
PCLO,0,1,0,1,1,ONC
PCMT1,0,1,0,1,1,ONC
PCSK2,1,0,0,1,0,DRV
PCSK7,0,1,0,1,1,ONC
PDCD1,0,1,0,1,1,ONC
PDE3A,0,1,0,1,1,ONC
PDE4D,0,0,1,1,1,TSG
PDGFRL,0,0,1,1,1,TSG
PDIA6,0,1,0,1,1,ONC
PDK4,0,0,1,1,1,TSG
PDS5B,0,1,0,1,1,ONC
PDXP,0,0,1,1,1,TSG
PDZK1,0,1,0,1,1,ONC
PEAK1,0,1,0,1,1,ONC
PECAM1,0,1,0,1,1,ONC
PER3,0,1,0,1,1,ONC
PERP,0,0,1,1,1,TSG
PFKFB3,0,1,0,1,1,ONC
PFN2,0,1,0,1,1,ONC
PGC,0,0,1,1,1,TSG
PHB2,0,0,1,1,1,TSG
PHF1,0,0,1,1,1,TSG
PHF10,0,0,1,1,1,TSG
PHF13,0,1,0,1,1,ONC
PHF20,0,1,0,1,1,ONC
PHF20L1,0,1,0,1,1,ONC
PHF21B,0,1,0,1,1,ONC
PHF7,0,1,0,1,1,ONC
PHIP,0,0,1,1,1,TSG
PHLPP2,1,0,0,1,0,DRV
PI15,0,1,0,1,1,ONC
PI4K2B,0,0,1,1,1,TSG
PIAS3,0,0,1,1,1,TSG
PIGA,0,1,0,1,1,ONC
PIK3R2,0,1,0,1,1,ONC
PIK3R3,0,0,1,1,1,TSG
PIP,0,1,0,1,1,ONC
PIP4K2A,0,0,1,1,1,TSG
PIWIL2,0,1,0,1,1,ONC
PIWIL3,0,1,0,1,1,ONC
PKD2,0,1,0,1,1,ONC
PKHD1,0,0,1,1,1,TSG
PKHD1L1,0,0,1,1,1,TSG
PKN2,0,0,1,1,1,TSG
PKNOX2,0,0,1,1,1,TSG
PKP3,0,1,0,1,1,ONC
PLA2G7,0,1,0,1,1,ONC
PLCB1,0,0,1,1,1,TSG
PLD2,0,1,0,1,1,ONC
PLEKHA2,0,1,0,1,1,ONC
PLEKHO1,0,0,1,1,1,TSG
PLK3,0,0,1,1,1,TSG
PLOD2,0,1,0,1,1,ONC
PLS3,0,1,0,1,1,ONC
PLXNA3,1,0,0,1,0,DRV
PMM2,1,0,0,1,0,DRV
PMP2,1,0,0,1,0,DRV
PNCK,0,1,0,1,1,ONC
PNO1,0,1,0,1,1,ONC
PNPLA2,1,0,0,1,0,DRV
PNRC1,0,0,1,1,1,TSG
POLDIP2,0,1,0,1,1,ONC
PON1,1,0,0,1,0,DRV
PON3,0,1,0,1,1,ONC
POU1F1,0,1,0,1,1,ONC
POU3F3,0,1,0,1,1,ONC
POU5F1B,0,1,0,1,1,ONC
PPBP,0,1,0,1,1,ONC
PPIA,0,1,0,1,1,ONC
PPM1K,0,1,0,1,1,ONC
PPME1,1,0,0,1,0,DRV
PPP1R14A,0,0,1,1,1,TSG
PPP1R18,0,0,1,1,1,TSG
PPP1R7,0,0,1,1,1,TSG
PPP1R9A,1,0,0,1,0,DRV
PPP1R9B,0,0,1,1,1,TSG
PPP2CA,0,1,0,1,1,ONC
PPP2R2A,0,1,0,1,1,ONC
PPP2R3B,0,0,1,1,1,TSG
PPP3CC,1,0,0,1,0,DRV
PPP4C,0,1,0,1,1,ONC
PPP5C,0,1,0,1,1,ONC
PRB1,0,1,0,1,1,ONC
PRDX2,0,1,0,1,1,ONC
PRDX3,0,0,1,1,1,TSG
PRDX4,1,0,0,1,0,DRV
PRDX6,0,0,1,1,1,TSG
PREX2,1,0,0,1,0,DRV
PRKAA2,0,0,1,1,1,TSG
PRKACA,1,0,0,1,0,DRV
PRKAR2B,0,1,0,1,1,ONC
PRKCD,0,1,0,1,1,ONC
PRKG1,0,0,1,1,1,TSG
PROCR,0,0,1,1,1,TSG
PRPF31,0,0,1,1,1,TSG
PRPF40A,0,1,0,1,1,ONC
PRPF6,1,0,0,1,0,DRV
PRPSAP2,0,1,0,1,1,ONC
PRR14,0,1,0,1,1,ONC
PRR5,0,0,1,1,1,TSG
PRRX1,0,0,1,1,1,TSG
PRSS21,0,0,1,1,1,TSG
PSD,0,0,1,1,1,TSG
PSIP1,0,1,0,1,1,ONC
PSMA7,1,0,0,1,0,DRV
PSMB9,0,1,0,1,1,ONC
PSMC2,0,1,0,1,1,ONC
PSMD14,0,1,0,1,1,ONC
PSME3,0,1,0,1,1,ONC
PTBP2,0,1,0,1,1,ONC
PTBP3,0,1,0,1,1,ONC
PTCHD3,0,0,1,1,1,TSG
PTER,0,0,1,1,1,TSG
PTGES2,1,0,0,1,0,DRV
PTGR1,0,1,0,1,1,ONC
PTH,0,1,0,1,1,ONC
PTMA,0,0,1,1,1,TSG
PTMS,0,0,1,1,1,TSG
PTP4A1,0,1,0,1,1,ONC
PTPN23,0,0,1,1,1,TSG
PTPN4,1,0,0,1,0,DRV
PTPN5,0,0,1,1,1,TSG
PTPRH,0,1,0,1,1,ONC
PTPRS,0,0,1,1,1,TSG
PTS,0,0,1,1,1,TSG
PTX3,0,0,1,1,1,TSG
PUF60,0,1,0,1,1,ONC
PVR,0,1,0,1,1,ONC
PYROXD1,0,1,0,1,1,ONC
PYROXD2,0,0,1,1,1,TSG
QPCT,0,1,0,1,1,ONC
QSOX1,0,0,1,1,1,TSG
RAB17,0,0,1,1,1,TSG
RAB21,0,1,0,1,1,ONC
RAB26,0,1,0,1,1,ONC
RAB27A,0,1,0,1,1,ONC
RAB31,0,1,0,1,1,ONC
RAB5A,0,1,0,1,1,ONC
RAB6B,0,1,0,1,1,ONC
RAB7A,0,1,0,1,1,ONC
RAB8A,0,0,1,1,1,TSG
RAD21,0,1,0,1,1,ONC
RAD23B,0,1,0,1,1,ONC
RAD50,0,0,1,1,1,TSG
RAD51C,0,0,1,1,1,TSG
RAI14,0,1,0,1,1,ONC
RALBP1,0,1,0,1,1,ONC
RALGDS,0,1,0,1,1,ONC
RAMP1,1,0,0,1,0,DRV
RANBP2,0,0,1,1,1,TSG
RANBP6,0,0,1,1,1,TSG
RANBP9,0,0,1,1,1,TSG
RAPH1,0,1,0,1,1,ONC
RASA2,0,0,1,1,1,TSG
RASA3,0,0,1,1,1,TSG
RASD1,0,1,0,1,1,ONC
RASEF,0,0,1,1,1,TSG
RBBP5,0,1,0,1,1,ONC
RBBP7,0,0,1,1,1,TSG
RBFOX3,0,1,0,1,1,ONC
RBM14,0,0,1,1,1,TSG
RBM15,0,1,0,1,1,ONC
RBMS2,0,0,1,1,1,TSG
RCC2,0,1,0,1,1,ONC
RCHY1,0,1,0,1,1,ONC
RD3,1,0,0,1,0,DRV
RDX,0,0,1,1,1,TSG
REC8,0,0,1,1,1,TSG
RECQL4,0,0,1,1,1,TSG
RELN,1,0,0,1,0,DRV
RETN,0,1,0,1,1,ONC
RFC3,0,1,0,1,1,ONC
RGS12,0,0,1,1,1,TSG
RGS20,0,1,0,1,1,ONC
RGS22,0,0,1,1,1,TSG
RGS4,1,0,0,1,0,DRV
RGS6,0,0,1,1,1,TSG
RHBDF1,0,1,0,1,1,ONC
RHEB,0,1,0,1,1,ONC
RHOBTB1,0,0,1,1,1,TSG
RHOF,0,0,1,1,1,TSG
RHOG,0,1,0,1,1,ONC
RHOT1,0,0,1,1,1,TSG
RHOV,0,1,0,1,1,ONC
RLF,0,1,0,1,1,ONC
RNASEL,0,0,1,1,1,TSG
RNASET2,0,0,1,1,1,TSG
RND1,1,0,0,1,0,DRV
RNF126,0,0,1,1,1,TSG
RNF130,0,0,1,1,1,TSG
RNF139,0,0,1,1,1,TSG
RNF144A,0,0,1,1,1,TSG
RNF180,0,0,1,1,1,TSG
RNF2,0,1,0,1,1,ONC
ROR2,0,0,1,1,1,TSG
RP1L1,0,1,0,1,1,ONC
RPIA,0,1,0,1,1,ONC
RPL13,0,1,0,1,1,ONC
RPL34,0,1,0,1,1,ONC
RPL36,0,0,1,1,1,TSG
RPL37A,0,1,0,1,1,ONC
RPL6,0,1,0,1,1,ONC
RPL7A,0,1,0,1,1,ONC
RPN2,0,1,0,1,1,ONC
RPS14,0,0,1,1,1,TSG
RPS15,1,0,0,1,0,DRV
RPS15A,0,1,0,1,1,ONC
RPS27,0,0,1,1,1,TSG
RPS6KA1,0,0,1,1,1,TSG
RPS6KA3,0,1,0,1,1,ONC
RPS6KC1,0,1,0,1,1,ONC
RPS9,0,1,0,1,1,ONC
RRS1,0,1,0,1,1,ONC
RSPO2,0,1,0,1,1,ONC
RSRC2,0,0,1,1,1,TSG
RTKN,0,1,0,1,1,ONC
RTKN2,0,1,0,1,1,ONC
RUFY3,0,1,0,1,1,ONC
RUVBL2,1,0,0,1,0,DRV
RXRA,1,0,0,1,0,DRV
RYK,0,1,0,1,1,ONC
RYR1,0,1,0,1,1,ONC
RYR2,0,0,1,1,1,TSG
S100A1,0,1,0,1,1,ONC
S100A10,0,1,0,1,1,ONC
S100A6,1,0,0,1,0,DRV
S100A7,0,1,0,1,1,ONC
S100A9,0,1,0,1,1,ONC
S100G,0,1,0,1,1,ONC
S100PBP,0,1,0,1,1,ONC
SAFB,0,0,1,1,1,TSG
SALL3,0,0,1,1,1,TSG
SAMHD1,0,0,1,1,1,TSG
SCAF1,0,1,0,1,1,ONC
SCAMP1,0,1,0,1,1,ONC
SCAMP3,0,1,0,1,1,ONC
SCAND1,0,0,1,1,1,TSG
SCD5,1,0,0,1,0,DRV
SCN10A,1,0,0,1,0,DRV
SCN2A,0,0,1,1,1,TSG
SCN5A,0,1,0,1,1,ONC
SCPEP1,0,1,0,1,1,ONC
SDC1,0,1,0,1,1,ONC
SDHA,0,0,1,1,1,TSG
SDHAF1,0,0,1,1,1,TSG
SDHAF2,0,0,1,1,1,TSG
SDHC,0,0,1,1,1,TSG
SEC23A,0,0,1,1,1,TSG
SEC31A,0,1,0,1,1,ONC
SEC61G,0,1,0,1,1,ONC
SEMA3D,0,0,1,1,1,TSG
SEMA3E,0,1,0,1,1,ONC
SERPINA3,0,1,0,1,1,ONC
SERPINI2,0,0,1,1,1,TSG
SERTAD1,0,1,0,1,1,ONC
SERTAD2,0,1,0,1,1,ONC
SETD1B,0,1,0,1,1,ONC
SETD5,0,1,0,1,1,ONC
SETDB2,0,1,0,1,1,ONC
SETX,0,0,1,1,1,TSG
SF1,0,1,0,1,1,ONC
SF3B3,0,1,0,1,1,ONC
SF3B4,0,1,0,1,1,ONC
SGCA,0,1,0,1,1,ONC
SGMS1,0,1,0,1,1,ONC
SGPP1,0,0,1,1,1,TSG
SH2D1A,1,0,0,1,0,DRV
SH3BP2,0,0,1,1,1,TSG
SHARPIN,0,1,0,1,1,ONC
SHBG,0,1,0,1,1,ONC
SHISA3,0,0,1,1,1,TSG
SIAH2,0,0,1,1,1,TSG
SIL1,0,1,0,1,1,ONC
SIRPA,0,0,1,1,1,TSG
SIVA1,0,1,0,1,1,ONC
SIX3,0,0,1,1,1,TSG
SKI,0,1,0,1,1,ONC
SKIL,0,1,0,1,1,ONC
SLC16A1,1,0,0,1,0,DRV
SLC16A2,0,1,0,1,1,ONC
SLC1A2,0,1,0,1,1,ONC
SLC25A22,0,1,0,1,1,ONC
SLC25A3,0,0,1,1,1,TSG
SLC25A43,0,0,1,1,1,TSG
SLC27A3,0,1,0,1,1,ONC
SLC28A1,0,0,1,1,1,TSG
SLC34A2,0,1,0,1,1,ONC
SLC35A4,0,1,0,1,1,ONC
SLC46A1,0,1,0,1,1,ONC
SLC46A2,0,0,1,1,1,TSG
SLC4A7,0,1,0,1,1,ONC
SLC5A1,0,1,0,1,1,ONC
SLC7A1,0,0,1,1,1,TSG
SLC7A11,0,1,0,1,1,ONC
SLC7A5,0,1,0,1,1,ONC
SMAD1,0,0,1,1,1,TSG
SMARCAL1,1,0,0,1,0,DRV
SMARCD2,0,0,1,1,1,TSG
SMC1A,0,1,0,1,1,ONC
SMC2,1,0,0,1,0,DRV
SMC4,0,1,0,1,1,ONC
SMCHD1,0,0,1,1,1,TSG
SMOC2,0,0,1,1,1,TSG
SMPD3,0,0,1,1,1,TSG
SMPDL3A,0,0,1,1,1,TSG
SNAP23,0,1,0,1,1,ONC
SNAP47,0,1,0,1,1,ONC
SNCA,0,1,0,1,1,ONC
SNRPB,0,1,0,1,1,ONC
SNRPD3,0,0,1,1,1,TSG
SNRPE,0,1,0,1,1,ONC
SNX1,0,0,1,1,1,TSG
SNX5,0,1,0,1,1,ONC
SOCS6,0,0,1,1,1,TSG
SOCS7,0,1,0,1,1,ONC
SOD3,0,0,1,1,1,TSG
SORBS1,0,1,0,1,1,ONC
SOX14,0,0,1,1,1,TSG
SOX8,0,1,0,1,1,ONC
SP2,0,0,1,1,1,TSG
SP3,1,0,0,1,0,DRV
SPAG9,0,1,0,1,1,ONC
SPANXA1,0,1,0,1,1,ONC
SPATA18,0,0,1,1,1,TSG
SPC24,0,1,0,1,1,ONC
SPEN,0,0,1,1,1,TSG
SPIC,0,1,0,1,1,ONC
SPIN3,0,0,1,1,1,TSG
SPINT1,0,0,1,1,1,TSG
SPN,1,0,0,1,0,DRV
SPNS1,0,1,0,1,1,ONC
SPRED2,0,0,1,1,1,TSG
SPRR3,0,0,1,1,1,TSG
SPRYD7,0,0,1,1,1,TSG
SPSB1,0,1,0,1,1,ONC
SRI,1,0,0,1,0,DRV
SRM,0,1,0,1,1,ONC
SRPK1,0,1,0,1,1,ONC
SRPK2,0,1,0,1,1,ONC
SRPX,0,0,1,1,1,TSG
SRPX2,0,1,0,1,1,ONC
SRSF7,0,1,0,1,1,ONC
SRXN1,0,1,0,1,1,ONC
SSTR1,0,0,1,1,1,TSG
SSX1,0,1,0,1,1,ONC
SSX2IP,0,1,0,1,1,ONC
ST6GALNAC4,1,0,0,1,0,DRV
ST8SIA4,1,0,0,1,0,DRV
STEAP2,1,0,0,1,0,DRV
STIL,0,1,0,1,1,ONC
STK17A,0,1,0,1,1,ONC
STK35,0,1,0,1,1,ONC
STK38,0,1,0,1,1,ONC
STK38L,0,0,1,1,1,TSG
STK40,0,1,0,1,1,ONC
STOM,0,1,0,1,1,ONC
STRA6,0,1,0,1,1,ONC
STRA8,0,1,0,1,1,ONC
STX11,0,0,1,1,1,TSG
STX3,0,1,0,1,1,ONC
SUB1,0,1,0,1,1,ONC
SULT1E1,0,1,0,1,1,ONC
SUMO1,0,1,0,1,1,ONC
SYNCRIP,0,1,0,1,1,ONC
SYP,0,1,0,1,1,ONC
SYT13,0,0,1,1,1,TSG
TAC1,0,0,1,1,1,TSG
TAF12,0,1,0,1,1,ONC
TAF15,0,1,0,1,1,ONC
TAF1L,0,1,0,1,1,ONC
TAF2,1,0,0,1,0,DRV
TAF4B,0,0,1,1,1,TSG
TAGLN,0,0,1,1,1,TSG
TAX1BP1,1,0,0,1,0,DRV
TAX1BP3,0,1,0,1,1,ONC
TBC1D12,0,1,0,1,1,ONC
TBC1D3B,0,1,0,1,1,ONC
TBCE,1,0,0,1,0,DRV
TBX19,0,1,0,1,1,ONC
TBX4,0,0,1,1,1,TSG
TCF19,0,0,1,1,1,TSG
TCF7,0,0,1,1,1,TSG
TCN1,0,1,0,1,1,ONC
TCOF1,0,0,1,1,1,TSG
TCP1,1,0,0,1,0,DRV
TDG,0,0,1,1,1,TSG
TDO2,1,0,0,1,0,DRV
TET3,0,0,1,1,1,TSG
TFAP2E,0,0,1,1,1,TSG
TFIP11,0,1,0,1,1,ONC
TGFA,0,1,0,1,1,ONC
TGFB1I1,0,1,0,1,1,ONC
TGIF2LX,0,0,1,1,1,TSG
TGM3,0,0,1,1,1,TSG
THOC1,0,1,0,1,1,ONC
THRB,0,0,1,1,1,TSG
TIAF1,0,0,1,1,1,TSG
TIMM17A,0,1,0,1,1,ONC
TIMP1,0,1,0,1,1,ONC
TIMP2,0,0,1,1,1,TSG
TJP2,0,1,0,1,1,ONC
TLK2,0,1,0,1,1,ONC
TLL2,0,1,0,1,1,ONC
TLR1,1,0,0,1,0,DRV
TLR3,1,0,0,1,0,DRV
TLR9,1,0,0,1,0,DRV
TM4SF18,1,0,0,1,0,DRV
TM9SF4,0,1,0,1,1,ONC
TMBIM6,0,1,0,1,1,ONC
TMEM100,0,0,1,1,1,TSG
TMEM115,0,0,1,1,1,TSG
TMEM119,0,1,0,1,1,ONC
TMEM134,0,1,0,1,1,ONC
TMEM14A,0,1,0,1,1,ONC
TMEM196,0,0,1,1,1,TSG
TMEM88,0,0,1,1,1,TSG
TMIGD1,0,0,1,1,1,TSG
TMPRSS11D,0,1,0,1,1,ONC
TMPRSS4,1,0,0,1,0,DRV
TMSB10,0,1,0,1,1,ONC
TMSB4Y,0,0,1,1,1,TSG
TNFRSF10D,0,1,0,1,1,ONC
TNFRSF18,0,0,1,1,1,TSG
TNFRSF1B,0,1,0,1,1,ONC
TNFRSF21,0,1,0,1,1,ONC
TNFRSF6B,0,1,0,1,1,ONC
TNFSF12,0,0,1,1,1,TSG
TNKS,0,1,0,1,1,ONC
TONSL,0,1,0,1,1,ONC
TOP1,0,1,0,1,1,ONC
TOPORS,0,0,1,1,1,TSG
TP53AIP1,0,0,1,1,1,TSG
TP53RK,1,0,0,1,0,DRV
TPM2,0,0,1,1,1,TSG
TPM3,0,1,0,1,1,ONC
TPM4,0,0,1,1,1,TSG
TPTE,0,0,1,1,1,TSG
TRA2B,0,1,0,1,1,ONC
TRAF2,0,1,0,1,1,ONC
TRAF7,1,0,0,1,0,DRV
TRIM2,0,0,1,1,1,TSG
TRIM32,0,1,0,1,1,ONC
TRIM36,0,1,0,1,1,ONC
TRIM37,0,1,0,1,1,ONC
TRIM45,0,0,1,1,1,TSG
TRIM47,0,1,0,1,1,ONC
TRIM50,0,0,1,1,1,TSG
TRIM52,0,1,0,1,1,ONC
TRIM58,1,0,0,1,0,DRV
TRIM66,0,1,0,1,1,ONC
TRIM67,0,0,1,1,1,TSG
TRIM7,0,1,0,1,1,ONC
TRIP10,1,0,0,1,0,DRV
TRIP6,0,1,0,1,1,ONC
TRIT1,0,0,1,1,1,TSG
TRMT12,0,1,0,1,1,ONC
TROAP,0,1,0,1,1,ONC
TRPV4,0,1,0,1,1,ONC
TRPV6,0,1,0,1,1,ONC
TRRAP,0,1,0,1,1,ONC
